_group,_leagueName,_seasonYear,底角三分命中率,有效命中率,赛事名称,赛事ID,赛季,赛季ID,年份,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手有效命中率百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队有效命中率百分位,球队ID,球队中距离命中率百分位排名,球队名称,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.833333,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,6.9,0,0,0.5,,0,1,,0,0,0,0.125,,0,0.125,,0,0.75,,0,,0,0.333333,,0,0,0.2,0,0.333333,0,0.466667,0.4,415,0,,1003320449,,北京大学,,,,,,0.714286
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.55,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,5,0,0,0.125,,0,0,,0,0,0,0.5,,0,0.5,,0,0,,0.25,,0,0,,0,0,0.4,0,0.3,0,0.3,0.666667,299,0,,1003320449,,北京大学,,,,,,0.333333
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.428571,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,3.7,0,0,0.357143,,0,0,,0,0,0,0.285714,,0,0.285714,,0,0.428571,,0.5,,0,0.333333,,0,0,0.285714,0,0.571429,0,0.142857,0.5,224,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.3,0,0,1,,0,0,,0,0,0,0,,0,1,,0,0,,1,,0,0,,0,0,0,0,0.666667,0,0.333333,1,77,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.7,0,0,0.75,,0,0,,0,0,0,0,,0,0.5,,0,0.5,,0,,0,1,,0,0,0.166667,0,0.666667,0,0.166667,0.75,101,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.6,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.9,0,0,0.5,,0,1,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,0,,0,0,0,0,0.6,0,0.4,1,111,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,0.8,0,0,0,,0,0,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,1,0,0,0,0,0,47,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,0.7,0,0,0.75,,0,0,,0,0,0,0.5,,0,0,,0,0.5,,0,,0,1,,0,0,0,0,0,0,0,0,43,0,,1003320449,,北京大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.916667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.4,0,0,0.833333,,0,1,,0,0,0,0.166667,,0,0.333333,,0,0.5,,0.5,,0,0.666667,,0,0,0.166667,0,0.166667,0,0.666667,1,202,0,,1003320449,,北京大学,,,,,,0.75
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.25,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,2.6,0,0,0,,0,0,,0,0,0,0,,0,0,,0,1,,0,,0,0,,0,0,0.5,0,0.5,0,0,0.5,158,0,,1003320449,,北京大学,,,,,,0
