teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,teamTotalNum,出场次数,leagueEventId,leagueEvent,seasonId,season,year,pctPlaytypeRank,teamPppRank,teamEfgPctRank,teamPctRfgaRank,teamPctMfgaRank,teamPctThfgaRank,teamPctTovRank,teamPctFtRank,oppPctPlaytypeRank,oppPppRank,oppEfgPctRank,oppPctRfgaRank,oppPctMfgaRank,oppPctThfgaRank,oppPctTovRank,oppPctFtRank
1003320449,北京大学,0,,P&R-Roll-Man,0.0031,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,14,1,20005,CUBAL一级联赛,200069,2022-23,2022,14,14,14,14,14,14,13,14,,,,,,,,
1003320449,北京大学,22,,Post-Up,0.1131,0.5946,37,18,10,8,6,1,5,0,0,0,0.458333,0.75,0.25,0,4,0.1081,9,0.2432,,,,,,,,,,,,,,,,,,,,,15,3,20005,CUBAL一级联赛,200069,2022-23,2022,3,5,6,3,13,15,4,1,,,,,,,,
1003320449,北京大学,10,,Put-Backs,0.0826,0.3704,27,13,4,9,3,1,2,1,0,1,0.294118,0.7647,0.1765,0.0588,6,0.2222,4,0.1481,,,,,,,,,,,,,,,,,,,,,15,3,20005,CUBAL一级联赛,200069,2022-23,2022,3,12,11,3,14,4,13,8,,,,,,,,
1003320449,北京大学,29,,Spot-Up,0.2171,0.4085,71,2,1,1,19,3,16,40,7,33,0.237705,0.0328,0.3115,0.6557,8,0.1127,2,0.0282,,,,,,,,,,,,,,,,,,,,,16,3,20005,CUBAL一级联赛,200069,2022-23,2022,12,14,14,11,7,7,8,13,,,,,,,,
1003320449,北京大学,44,,Transition,0.1988,0.6769,65,26,17,9,12,2,10,3,2,1,0.536585,0.6341,0.2927,0.0732,15,0.2308,9,0.1385,,,,,,,,,,,,,,,,,,,,,16,3,20005,CUBAL一级联赛,200069,2022-23,2022,11,9,6,4,8,16,10,1,,,,,,,,
1003320449,北京大学,274,,Cut,0.1524,1.0458,262,122,84,38,92,34,58,0,0,0,0.551402,0.5701,0.4299,0,27,0.1031,21,0.0802,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,8,4,4,14,50,63,31,31,,,,,,,,
1003320449,北京大学,17,,Hand-Off,0.0134,0.7391,23,4,2,2,5,1,4,9,3,6,0.416667,0.2222,0.2778,0.5,3,0.1304,2,0.087,,,,,,,,,,,,,,,,,,,,,63,13,20005,CUBAL一级联赛,200267,2023-24,2023,58,23,21,19,44,28,23,23,,,,,,,,
1003320449,北京大学,34,,Isolation,0.0215,0.9189,37,11,5,6,14,6,8,3,0,3,0.392857,0.3929,0.5,0.1071,3,0.0811,6,0.1622,,,,,,,,,,,,,,,,,,,,,63,17,20005,CUBAL一级联赛,200267,2023-24,2023,36,8,24,30,37,33,14,20,,,,,,,,
1003320449,北京大学,85,,Miscellaneous,0.0902,0.5484,155,33,25,8,8,2,6,17,3,14,0.543103,0.569,0.1379,0.2931,79,0.5097,17,0.1097,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,48,3,9,9,59,33,1,11,,,,,,,,
1003320449,北京大学,86,,Off-Screen,0.0494,1.0118,85,4,3,1,18,3,15,49,23,26,0.570423,0.0563,0.2535,0.6901,11,0.1294,3,0.0353,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,13,5,6,35,24,33,46,30,,,,,,,,
1003320449,北京大学,72,,P&R-Ball-Handler,0.0582,0.72,100,14,8,6,38,13,25,12,4,8,0.421875,0.2188,0.5938,0.1875,25,0.25,11,0.11,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,49,4,5,26,5,57,37,11,,,,,,,,
1003320449,北京大学,15,,P&R-Roll-Man,0.0111,0.7895,19,5,3,2,8,2,6,2,1,1,0.433333,0.3333,0.5333,0.1333,1,0.0526,3,0.1579,,,,,,,,,,,,,,,,,,,,,62,11,20005,CUBAL一级联赛,200267,2023-24,2023,50,27,32,39,18,33,16,14,,,,,,,,
1003320449,北京大学,116,,Post-Up,0.0681,0.9915,117,56,31,25,34,18,16,0,0,0,0.544444,0.6222,0.3778,0,15,0.1282,12,0.1026,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,2,10,12,22,40,63,24,38,,,,,,,,
1003320449,北京大学,146,,Put-Backs,0.0791,1.0735,136,75,43,32,35,14,21,2,2,0,0.535714,0.6696,0.3125,0.0179,8,0.0588,16,0.1176,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,13,9,18,29,33,42,20,45,,,,,,,,
1003320449,北京大学,262,,Spot-Up,0.1984,0.7683,341,21,9,12,66,22,44,215,62,153,0.410596,0.0695,0.2185,0.7119,32,0.0938,7,0.0205,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,58,12,13,45,48,9,11,60,,,,,,,,
1003320449,北京大学,444,,Transition,0.2583,1,444,203,138,65,88,38,50,69,13,56,0.543056,0.5639,0.2444,0.1917,52,0.1171,32,0.0721,,,,,,,,,,,,,,,,,,,,,63,18,20005,CUBAL一级联赛,200267,2023-24,2023,8,8,16,14,37,50,3,36,,,,,,,,
