teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_period
1003320449,北京大学,0.535294,0.412834,0.65285,0.274866,0.435798,0.312299,0.311644,0.393696,0.262052,0.537736,0.337454,0.282051,0.400494,0.262346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80549,王斯瑶,,,22,,,,,,524.9,31493,在场,,84.93,57.95,79.3,52.65,84.77,38.58,71.52,58.44,81.29,49.17,27.32,56.95,26.16,47.02,CUBAL一级联赛 2024
1003320449,北京大学,-0.037358,-0.112611,-0.00916,0.093244,-0.043492,0.019366,0.008215,0.028441,0.041299,0.106726,-0.025857,0.038184,-0.015441,-0.034126,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,725,,差值,,24.07,6.02,43.7,91.83,31.52,62.18,54.3,32.81,23.78,12.46,69.05,32.38,63.18,67.77,CUBAL一级联赛 2024
1003320449,北京大学,0.504386,0.328947,0.64,0.346491,0.392405,0.324561,0.324324,0.402778,0.277778,0.6,0.316667,0.298246,0.405556,0.232877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,123.3,7396,不在场,,78.64,33.28,76.32,75.5,75.83,42.72,74.67,54.3,78.15,33.11,33.77,49.83,24.83,58.44,CUBAL一级联赛 2024
1003320449,北京大学,0.541744,0.441558,0.64916,0.253247,0.435897,0.305195,0.316109,0.374337,0.236479,0.493274,0.342524,0.260062,0.420997,0.267003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,,21,,,,,,601.7,36104,在场,,86.26,65.56,78.48,44.7,84.77,36.09,73.18,65.4,84.93,62.58,25.5,63.74,19.7,43.71,CUBAL一级联赛 2024
1003320449,北京大学,0.003285,0.002067,-0.004386,0.027814,-0.045285,-0.029882,0.042848,-0.037785,0.047009,-0.061699,0.008317,-0.005012,-0.055326,-0.041621,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,80546,陈怡静,,,21,,,,,,725,,差值,,51.58,49.43,46.28,67.05,30.8,34.53,71.92,71.06,21.06,74.07,45.85,49.71,82.38,70.2,CUBAL一级联赛 2024
1003320449,北京大学,0.534319,0.421331,0.649123,0.26188,0.439516,0.31679,0.306667,0.388956,0.230583,0.531579,0.336165,0.267148,0.433252,0.271709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80546,陈怡静,,,21,,,,,,521.5,31289,在场,,84.93,59.93,78.48,47.68,85.26,40.07,69.87,60.26,85.93,50.5,27.48,60.6,16.39,42.38,CUBAL一级联赛 2024
1003320449,北京大学,0.537604,0.423398,0.644737,0.289694,0.394231,0.286908,0.349515,0.351171,0.277592,0.46988,0.344482,0.262136,0.377926,0.230088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80546,陈怡静,,,21,,,,,,203.5,12211,不在场,,85.1,60.1,77.32,58.94,75.99,30.3,79.8,75.5,78.15,68.21,25,63.25,35.43,59.6,CUBAL一级联赛 2024
1003320449,北京大学,0.05693,0.021326,0.034046,-0.072318,0.137538,0.050991,0.003794,-0.044586,-0.051035,-0.247992,-0.001035,-0.050311,0.05207,0.052374,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,725,,差值,,81.38,60.6,63.18,12.89,93.55,74.79,51.72,74.93,77.65,99.28,52.87,70.06,18.34,25.79,CUBAL一级联赛 2024
1003320449,北京大学,0.516129,0.414747,0.636111,0.293779,0.388235,0.291475,0.316206,0.394062,0.260459,0.585492,0.338731,0.282869,0.40081,0.242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,477.2,28631,在场,,80.79,58.44,74.5,59.77,74.5,31.29,73.18,58.44,81.46,36.59,25.99,56.95,26.16,54.14,CUBAL一级联赛 2024
1003320449,北京大学,0.573059,0.436073,0.670157,0.221461,0.525773,0.342466,0.32,0.349476,0.209424,0.3375,0.337696,0.232558,0.45288,0.294798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,,18,,,,,,247.8,14869,不在场,,92.05,63.58,82.28,34.11,94.7,48.34,73.51,75.66,88.58,91.89,27.15,71.19,11.75,33.28,CUBAL一级联赛 2024
