playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率,时间段,_group
80546,陈怡静,1003320449,20005,200406,,2,1003320453,清华大学,1,Chen Yijing,21,PF,1102,18.4,200050010977,0,2025-06-06,1,0,56.25,2.86,72.3,0.205852,98.65,0.717213,0,0,2.7,0.380711,0.061087,96.62,0.0625,98.65,0.055556,27.7,0.08,12.84,5,2,3,0.6,全场,awayTeamPlayerList
32006,李美潼,1003320449,20005,200406,,2,1003320453,清华大学,1,Li Meitong,13,PF,1091,18.2,200050010977,1,2025-06-06,1,0,70.67,4.75,42.57,0.167727,83.11,0.533175,21.62,0.083333,100,0,0.051653,95.27,0,0,0.035714,11.49,0.105263,29.05,5,1,4,0.8,全场,awayTeamPlayerList
31999,贾晋文,1003320449,20005,200406,,2,1003320453,清华大学,1,Jia Jinwen,4,C,902,15,200050010977,0,2025-06-06,1,0,48.5,1.89,79.17,0.222732,96.53,0.66568,52.08,0.111111,76.39,0.128866,0,0,0,0,0.071429,36.81,0.230769,96.53,2,2,0,0,全场,awayTeamPlayerList
30230,安恒瑶,1003320449,20005,200406,,2,1003320453,清华大学,1,An Hengyao,6,C,349,5.8,200050010977,0,2025-06-06,1,0,,-0.22,,0.144092,,0,,0,,0,0,,0,,0.25,,0.181818,,1,1,0,0,全场,awayTeamPlayerList
32001,王乔睿,1003320449,20005,200406,,2,1003320453,清华大学,1,Wang Qiaorui,9,SG,298,5,200050010977,0,2025-06-06,1,0,,1.06,,0.105932,,0,,0,,0,0.112867,,0,,0,,0.111111,,0,0,0,,全场,awayTeamPlayerList
76061,赵婧涵,1003320449,20005,200406,,2,1003320453,清华大学,1,Zhao Jinghan,1,PF,207,3.5,200050010977,0,2025-06-06,1,0,,2.63,,0.387387,,0.872093,,0.333333,,0,0,,0,,0.25,,0,,2,0,2,1,全场,awayTeamPlayerList
93035,李瑜婧,1003320453,20005,200406,,2,1003320449,北京大学,2,Li Yujing,21,SF,508,8.5,200050010977,1,2025-06-06,1,0,,-0.57,,0.13587,,0.5,,0.25,,0.333333,0,,0,,0,,0,,3,3,0,0,Q1,homeTeamPlayerList
32071,张涛,1003320453,20005,200406,,2,1003320449,北京大学,2,Zhang Tao,11,PF,461,7.7,200050010977,1,2025-06-06,1,0,,-0.28,,0.150905,,0,,0.25,,0.333333,0.068871,,0,,0,,0,,3,2,1,0.333333,Q1,homeTeamPlayerList
32067,高梓悦,1003320453,20005,200406,,2,1003320449,北京大学,2,Gao Ziyue,16,C,431,7.2,200050010977,1,2025-06-06,1,0,,0.34,,0.322645,,0.367647,,0.333333,,0.15528,0,,0,,0,,0.363636,,0,0,0,,Q1,homeTeamPlayerList
32064,王小青,1003320453,20005,200406,,2,1003320449,北京大学,2,Wang Xiaoqing,5,PG,411,6.9,200050010977,1,2025-06-06,1,0,,-0.28,,0.104167,,0,,0.6,,0.5,0,,0,,0,,0.076923,,2,1,1,0.5,Q1,homeTeamPlayerList
