得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35590,张书璇,Zhang Shuxuan,5,154,0,0,200406,1003320452,Q1,homeTeamDataCount
,0,0,0,,,,1,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,Q1,homeTeamDataCount
17,1,7,8,5,2,0,5,3,6,12,0.5,3,3,1,3,6,0.5,0,3,0,5,7,0.7143,,总和,,,,1,,200406,1003320452,Q1,homeTeamDataCount
0,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,32013,王雨桐,Wang Yutong,16,519,3,1,200406,1003320449,Q1,awayTeamDataCount
6,0,2,2,0,2,0,3,0,3,5,0.6,3,3,1,0,1,0,0,1,0,0,0,0,32005,王家绘,Wang Jiahui,11,505,4,1,200406,1003320449,Q1,awayTeamDataCount
6,0,0,0,0,0,0,0,0,2,3,0.6667,0,0,0,2,2,1,0,1,0,2,2,1,80550,伍湘琳,Wu Xianglin,10,505,4,1,200406,1003320449,Q1,awayTeamDataCount
0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,327,2,1,200406,1003320449,Q1,awayTeamDataCount
2,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,32006,李美潼,Li Meitong,13,272,-2,1,200406,1003320449,Q1,awayTeamDataCount
2,0,1,1,0,0,0,0,1,1,2,0.5,1,1,1,0,1,0,0,0,0,0,0,0,80546,陈怡静,Chen Yijing,21,328,1,0,200406,1003320449,Q1,awayTeamDataCount
0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80548,罗巧梅,Luo Qiaomei,7,273,-3,0,200406,1003320449,Q1,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,32001,王乔睿,Wang Qiaorui,9,95,-5,0,200406,1003320449,Q1,awayTeamDataCount
0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,32012,李若莹,Li Ruoying,31,95,-5,0,200406,1003320449,Q1,awayTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30230,安恒瑶,An Hengyao,6,81,-4,0,200406,1003320449,Q1,awayTeamDataCount
,0,0,0,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,Q1,awayTeamDataCount
16,1,7,8,2,3,0,4,7,6,15,0.4,4,5,0.8,2,5,0.4,0,5,0,4,4,1,,总和,,,,-1,,200406,1003320449,Q1,awayTeamDataCount
2,0,1,1,0,0,0,0,1,1,2,0.5,0,0,0,1,1,1,0,1,0,0,0,0,28161,李青阳,Li Qingyang,1,600,-9,1,200406,1003320452,Q2,homeTeamDataCount
0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,22700,曹博怡,Cao Boyi,14,456,-4,1,200406,1003320452,Q2,homeTeamDataCount
2,0,0,0,1,0,0,1,0,1,3,0.3333,0,0,0,1,3,0.3333,0,0,0,0,0,0,32090,张笑,,8,401,-7,1,200406,1003320452,Q2,homeTeamDataCount
3,0,1,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,0,3,4,0.75,80524,张梓涵,Zhang Zihan,7,385,-6,1,200406,1003320452,Q2,homeTeamDataCount
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80520,李妍熹,Li Yanxi,9,325,-6,0,200406,1003320452,Q2,homeTeamDataCount
3,0,0,0,0,0,0,0,1,1,2,0.5,0,0,0,0,0,0,1,2,0.5,0,0,0,104527,毛婉如,,12,307,-5,0,200406,1003320452,Q2,homeTeamDataCount
0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88490,李星诺,Li Xingnuo,11,275,-3,0,200406,1003320452,Q2,homeTeamDataCount
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35590,张书璇,Zhang Shuxuan,5,144,-5,0,200406,1003320452,Q2,homeTeamDataCount
0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80522,刘馨悦,Liu Xinyue,16,107,0,0,200406,1003320452,Q2,homeTeamDataCount
,0,2,2,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320452,Q2,homeTeamDataCount
10,0,7,7,2,0,0,5,6,3,11,0.2727,0,0,0,2,6,0.3333,1,5,0.2,3,4,0.75,,总和,,,,-9,,200406,1003320452,Q2,homeTeamDataCount
9,0,1,1,2,1,0,0,1,3,6,0.5,1,1,1,0,1,0,2,4,0.5,1,1,1,80550,伍湘琳,Wu Xianglin,10,511,7,1,200406,1003320449,Q2,awayTeamDataCount
