_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,22,,1003320449,北京大学,SG,170,64,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,12007,200.1,false,68.12,0.453333,69.57,25,60.14,0.56,90.58,35,74.64,0.4,32.61,15,68.12,0.266667,77.54,21,95.65,0.904762,49.28,3,74.64,0.333333,31.16,12,57.97,0.25,92.03,31,76.09,0.419355,68.12,4,57.97,0.25
CUBAL一级联赛,CUBAL一级联赛,80549,王斯瑶,Wang Siyao,8,21,,1003320449,北京大学,PG,168,65,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,13,21472,357.9,false,96.04,0.538462,98.02,58,62.38,0.62069,89.11,52,53.47,0.307692,39.6,20,99.01,0.6,55.45,12,92.08,0.833333,36.63,2,0,0,46.53,18,96.04,0.666667,95.05,48,52.48,0.291667,49.5,4,87.13,0.5
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,20,,1003320449,北京大学,SG,178,75,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,12,10910,181.8,false,78.99,0.488889,39.13,15,91.3,0.733333,49.28,13,67.39,0.384615,39.13,17,56.52,0.235294,23.91,4,80.43,0.75,23.91,1,100,1,49.28,16,40.58,0.1875,53.62,10,71.01,0.4,61.59,3,68.12,0.333333
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,9,19,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,7,11628,193.8,false,45.22,0.359375,24.35,8,89.57,0.75,77.39,26,55.65,0.307692,59.13,30,42.61,0.2,0,0,0,0,36.52,2,0,0,63.48,28,48.7,0.214286,80.87,22,71.3,0.363636,61.74,4,0,0
CUBAL一级联赛,CUBAL一级联赛,32001,王乔睿,Wang Qiaorui,6,18,,1003320449,北京大学,SG,178,74,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,2,2432,40.5,false,88.89,0.535714,27.78,4,100,1,44.44,5,77.78,0.4,22.22,5,38.89,0.2,72.22,6,44.44,0.5,61.11,2,72.22,0.5,16.67,3,0,0,55.56,5,83.33,0.4,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,22,,1003320449,北京大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,15,19941,332.4,false,54.03,0.392857,83.87,34,49.19,0.5,93.55,40,71.77,0.35,95.16,66,54.03,0.242424,98.39,43,82.26,0.767442,74.19,5,0,0,96.77,61,61.29,0.262295,89.52,26,79.84,0.423077,96.77,14,57.26,0.214286
CUBAL一级联赛,CUBAL一级联赛,80550,伍湘琳,Wu Xianglin,10,21,,1003320449,北京大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,32766,546.1,false,15.65,0.291304,92.17,52,53.04,0.538462,93.91,58,27.83,0.206897,96.52,120,25.22,0.15,80.87,26,83.48,0.769231,91.3,14,47.83,0.142857,97.39,106,28.7,0.150943,90.43,38,41.74,0.263158,97.39,20,46.09,0.1
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,22,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,18,25786,429.8,false,95.89,0.56713,100,114,80.82,0.666667,98.63,63,83.56,0.428571,84.25,39,80.82,0.333333,99.32,53,45.89,0.566038,77.4,7,54.11,0.142857,83.56,32,86.99,0.375,100,57,81.51,0.438596,80.82,6,74.66,0.333333
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,21,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,49794,829.9,false,97.52,0.544041,99.17,174,55.37,0.574713,98.35,108,98.35,0.518519,97.52,104,90.91,0.346154,99.17,116,35.54,0.517241,95.04,20,83.47,0.4,97.52,84,86.78,0.333333,99.17,98,96.69,0.530612,85.12,10,80.17,0.4
CUBAL一级联赛,CUBAL一级联赛,32005,王家绘,Wang Jiahui,11,20,,1003320449,北京大学,SF,183,80,小前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3,5764,96.1,false,38.89,0.296875,94.44,15,61.11,0.533333,83.33,12,0,0,27.78,5,72.22,0.2,88.89,13,88.89,0.615385,27.78,1,0,0,33.33,4,72.22,0.25,83.33,12,0,0,0,0,0,0
