得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,40730,李嘉琳,Li Jialin,2,254,-4,0,200406,1003320453,Q1,homeTeamDataCount
6,0,2,2,0,0,0,0,2,1,2,0.5,0,0,0,0,0,0,1,2,0.5,3,4,0.75,80514,王镘淋,Wang Manlin,9,227,-3,0,200406,1003320453,Q1,homeTeamDataCount
0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,88706,孙楷文,Sun Kaiwen,15,169,-2,0,200406,1003320453,Q1,homeTeamDataCount
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,92064,刘琦,Liu Qi,6,139,-1,0,200406,1003320453,Q1,homeTeamDataCount
,2,2,4,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,Q1,homeTeamDataCount
17,4,10,14,6,1,0,4,6,5,17,0.2941,3,6,0.5,0,6,0,2,5,0.4,5,9,0.5556,,总和,,,,0,,200406,1003320453,Q1,homeTeamDataCount
2,0,2,2,1,0,0,2,0,0,7,0,0,1,0,0,5,0,0,1,0,2,2,1,32005,王家绘,Wang Jiahui,11,496,-2,1,200406,1003320449,Q1,awayTeamDataCount
6,0,0,0,0,1,0,0,1,2,6,0.3333,1,2,0.5,1,1,1,0,3,0,2,2,1,80550,伍湘琳,Wu Xianglin,10,393,-1,1,200406,1003320449,Q1,awayTeamDataCount
0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,289,-3,1,200406,1003320449,Q1,awayTeamDataCount
2,1,1,2,0,0,0,0,0,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,184,-3,1,200406,1003320449,Q1,awayTeamDataCount
