得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,playerName,playerEnName,number,上场时间(秒),plusMinus,gameStart,seasonId,teamId,时间段,_group
4,1,3,4,0,0,2,1,2,2,4,0.5,2,2,1,0,1,0,0,1,0,0,0,0,32067,高梓悦,Gao Ziyue,16,883,-5,1,200406,1003320453,H2,homeTeamDataCount
4,1,0,1,0,0,0,2,0,1,1,1,0,0,0,1,1,1,0,0,0,2,3,0.6667,32072,吴语桐,Wu Yutong,4,491,-7,1,200406,1003320453,H2,homeTeamDataCount
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93035,李瑜婧,Li Yujing,21,201,-4,1,200406,1003320453,H2,homeTeamDataCount
7,2,1,3,0,0,0,1,0,3,6,0.5,2,2,1,0,2,0,1,2,0.5,0,0,0,80514,王镘淋,Wang Manlin,9,973,7,0,200406,1003320453,H2,homeTeamDataCount
8,2,1,3,1,0,0,0,1,3,9,0.3333,1,3,0.3333,1,2,0.5,1,4,0.25,1,1,1,40730,李嘉琳,Li Jialin,2,848,5,0,200406,1003320453,H2,homeTeamDataCount
5,0,1,1,1,0,1,0,1,2,4,0.5,0,0,0,1,1,1,1,3,0.3333,0,0,0,92064,刘琦,Liu Qi,6,468,0,0,200406,1003320453,H2,homeTeamDataCount
,1,2,3,,,,0,0,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320453,H2,homeTeamDataCount
43,11,13,24,9,2,3,9,9,16,35,0.4571,9,12,0.75,3,9,0.3333,4,14,0.2857,7,11,0.6364,,总和,,,,-2,,200406,1003320453,H2,homeTeamDataCount
12,1,3,4,3,2,1,3,0,5,10,0.5,1,1,1,3,5,0.6,1,4,0.25,1,3,0.3333,32005,王家绘,Wang Jiahui,11,960,2,1,200406,1003320449,H2,awayTeamDataCount
4,3,2,5,1,2,0,0,3,2,7,0.2857,1,3,0.3333,1,1,1,0,3,0,0,0,0,80550,伍湘琳,Wu Xianglin,10,831,11,1,200406,1003320449,H2,awayTeamDataCount
6,2,1,3,3,1,0,0,0,3,5,0.6,3,5,0.6,0,0,0,0,0,0,0,0,0,32013,王雨桐,Wang Yutong,16,766,2,1,200406,1003320449,H2,awayTeamDataCount
3,0,1,1,1,0,0,0,1,1,3,0.3333,0,1,0,0,1,0,1,1,1,0,0,0,32006,李美潼,Li Meitong,13,561,0,1,200406,1003320449,H2,awayTeamDataCount
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,30097,钱媛媛,Qian Yuanyuan,3,504,2,1,200406,1003320449,H2,awayTeamDataCount
5,0,0,0,2,0,0,0,1,2,3,0.6667,0,0,0,1,1,1,1,2,0.5,0,0,0,80548,罗巧梅,Luo Qiaomei,7,817,-4,0,200406,1003320449,H2,awayTeamDataCount
0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,32012,李若莹,Li Ruoying,31,488,-5,0,200406,1003320449,H2,awayTeamDataCount
7,0,1,1,0,0,0,0,3,2,2,1,1,1,1,1,1,1,0,0,0,3,4,0.75,31999,贾晋文,Jia Jinwen,4,434,0,0,200406,1003320449,H2,awayTeamDataCount
2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,80546,陈怡静,Chen Yijing,21,432,0,0,200406,1003320449,H2,awayTeamDataCount
6,1,0,1,1,0,0,0,2,2,3,0.6667,1,1,1,0,1,0,1,1,1,1,1,1,76061,赵婧涵,Zhao Jinghan,1,207,2,0,200406,1003320449,H2,awayTeamDataCount
,1,1,2,,,,0,1,,,,,,,,,,,,,,,,0,团队篮板/失误/犯规,,,,,,,1003320449,H2,awayTeamDataCount
45,8,9,17,12,7,1,4,12,17,37,0.4595,7,12,0.5833,6,10,0.6,4,15,0.2667,7,10,0.7,,总和,,,,2,,200406,1003320449,H2,awayTeamDataCount
