_group,_leagueName,球队ID,球队名称,有效命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),上场时间(分钟),上场时间(秒),在场/不在场,球队比赛场次,球队有效命中率百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.540892,0.405204,0.688073,0.297398,0.375,0.297398,0.3375,0.312796,0.21327,0.444444,0.388626,0.231707,0.398104,0.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,31999,贾晋文,,,19,,,,,,300,18000,不在场,,88.95,76.22,79.96,37.64,74.91,35.58,82.02,84.27,80.9,78.46,32.4,72.28,27.15,61.99
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.015672,-0.21791,-0.02381,0.061692,0.058824,0.156219,0.02551,0.278659,0.059756,-0.179488,-0.228049,0.391157,0.168293,0.264706,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,,,,,125.1,,差值,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.365672,0.41791,0.52381,0.338308,0.191176,0.243781,0.22449,0.346341,0.190244,0.512821,0.478049,0.27551,0.331707,0.235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,,,,,116,6957,在场,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.35,0.2,0.5,0.4,0.25,0.4,0.25,0.625,0.25,0.333333,0.25,0.666667,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,31999,贾晋文,,,18,,,,,,9.1,543,不在场,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.101565,0.040405,0.052502,-0.093658,0.120774,0.053252,0.0814,-0.044729,-0.023563,-0.21157,-0.019352,-0.002345,0.042915,0.007164,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,,,,,725,,差值,,93.12,71.2,69.91,7.31,91.4,75.64,84.53,75.07,63.75,98.42,64.61,48.71,22.06,47.71
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.514847,0.413793,0.636574,0.288314,0.408638,0.297893,0.299035,0.387778,0.247778,0.55157,0.342222,0.266234,0.41,0.260163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,,,,,585.4,35122,在场,,80.46,57.95,75.99,58.28,79.97,32.95,67.88,61.09,83.44,45.7,25.5,62.09,23.34,48.34
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.616412,0.454198,0.689076,0.194656,0.529412,0.351145,0.380435,0.343049,0.224215,0.34,0.32287,0.263889,0.452915,0.267327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92972,蔡雨昕,,,20,,,,,,139.6,8378,不在场,,96.36,70.03,84.93,25,95.03,53.15,86.59,77.81,86.59,91.89,31.46,62.42,11.75,43.71
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.081093,-0.027061,-0.040884,0.002916,-0.128109,0.024144,-0.044118,-0.169654,-0.038289,-0.512821,-0.085947,0.373791,0.124236,-0.238482,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,,,,,1440,,差值,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.50417,0.411676,0.640884,0.304776,0.378109,0.283548,0.294118,0.369654,0.238289,0.512821,0.385947,0.292876,0.375764,0.238482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,,,,,1420.5,85230,在场,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.423077,0.384615,0.6,0.307692,0.25,0.307692,0.25,0.2,0.2,0,0.3,0.666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92972,蔡雨昕,,,19,,,,,,19.5,1170,不在场,,,,,,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,-0.074346,-0.055005,-0.032327,0.109074,-0.037354,-0.054071,-0.084507,-0.065279,-0.023358,-0.044313,0.036088,0.008396,-0.01273,-0.082778,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,,,,,725,,差值,,11.17,20.49,33.67,93.98,34.24,24.21,13.61,84.24,63.47,68.77,25.5,44.13,61.17,85.82
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.548372,0.431628,0.653017,0.250233,0.434944,0.31814,0.330409,0.389301,0.246822,0.519313,0.332627,0.264331,0.420551,0.274559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,,,,,602.6,36154,在场,,87.58,62.75,79.3,44.54,84.77,40.4,75.17,60.26,83.44,54.97,28.81,62.42,19.7,41.06
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.474026,0.376623,0.62069,0.359307,0.39759,0.264069,0.245902,0.324022,0.223464,0.475,0.368715,0.272727,0.407821,0.191781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,,19,,,,,,122.4,7346,不在场,,72.35,46.69,71.36,77.81,75.99,23.84,46.36,82.78,86.75,66.89,19.87,59.6,24.01,73.68
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.069686,-0.001284,0.044271,-0.006667,0.046801,0.007951,0.086195,-0.013003,0.04196,-0.067797,-0.064363,0.091546,0.022402,-0.063953,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,,18,,,,,,1440,,差值,,84.38,47.94,66.07,45.6,71.63,55.48,85.46,57.63,25.13,75.04,87.61,13.64,32.32,81.51
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,0.487317,0.411707,0.630332,0.306341,0.366242,0.281951,0.273356,0.370801,0.228682,0.525424,0.399225,0.278317,0.372093,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,30230,安恒瑶,,,18,,,,,,1103,66178,在场,,75.66,77.72,65.92,40.64,71.54,28.84,62.55,62.92,76.03,62.55,28.46,57.49,36.33,50.19
