_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,有效命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名
CUBAL一级联赛,CUBAL一级联赛,16664,277.7,16,Put-Backs,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,30097,钱媛媛,Qian Yuanyuan,3,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.1854,0.1296,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,16664,277.7,16,Miscellaneous,3,0.375,8,0,0,0,1,1,0,1,0,1,5,0.5,0,0.5,0.5,0.625,1,0.125,30097,钱媛媛,Qian Yuanyuan,3,,,1003320449,北京大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.4831,1.0371,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Transition,20,1.1765,17,10,8,2,4,2,2,0,0,0,3,0.714286,0.7143,0.2857,0,0.1765,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,4.5215,3.2484,24.65,23.5,86.87,89.86,73.27,73.27,0,45.62,0
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Post-Up,2,0.25,8,4,1,3,2,0,2,0,0,0,2,0.166667,0.6667,0.3333,0,0.25,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.1278,1.5287,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Spot-Up,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.5,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.5319,0.3822,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Off-Screen,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.266,0.1911,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Cut,45,1.125,40,17,11,6,13,6,7,0,0,0,3,0.566667,0.5667,0.4333,0,0.075,7,0.175,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,10.6389,7.6433,92.47,92.47,84.52,78.24,59.41,40.17,0,65.27,91.21
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,P&R-Roll-Man,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.5319,0.3822,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Put-Backs,19,1.1176,17,13,6,7,3,2,1,0,0,0,0,0.5,0.8125,0.1875,0,0,1,0.0588,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,4.5215,3.2484,75.56,73.33,58.52,42.96,60,42.96,0,100,17.78
CUBAL一级联赛,CUBAL一级联赛,11301,188.4,16,Miscellaneous,0,0,3,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0.6667,0,0,31999,贾晋文,Jia Jinwen,4,,,1003320449,北京大学,C,,,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.7979,0.5732,,,,,,,,,
