_group,_leagueName,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,球队ID,球队名称,位置,身高,体重,位置(中文),赛事ID,赛事名称,赛季ID,赛季,年份,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),有效命中率百分位排名,有效命中率,篮下频率百分位排名,篮下出手数,篮下命中率百分位排名,篮下命中率,中距离频率百分位排名,中距离出手数,中距离命中率百分位排名,中距离命中率,三分频率百分位排名,三分出手数,三分命中率百分位排名,三分命中率,罚球频率百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CUBAL一级联赛,CUBAL一级联赛,31999,贾晋文,Jia Jinwen,4,18,,1003320449,北京大学,PF,192,93,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,112,0.206,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,,,20,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,14,8378,139.6,true,97.83,0.575472,18.84,6,99.28,0.833333,32.61,8,65.22,0.375,73.91,39,94.2,0.384615,17.39,2,29.71,0.5,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,SG,168,66,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6,5784,0.69,false,100,0.6625,14.39,5,96.4,0.8,11.51,4,100,0.75,64.75,31,97.12,0.419355,17.99,2,30.22,0.5,80.58,7,86.33,0.428571,62.59,24,96.4,0.416667,17.99,3,96.4,0.666667,24.46,1,100,1
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,5,20,,1003320449,北京大学,PG,168,66,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,8,2594,0.31,false,21.6,0.307692,4.8,1,100,1,17.6,4,0,0,24,8,61.6,0.25,0,0,0,0,49.6,2,0,0,20.8,6,80.8,0.333333,11.2,2,0,0,49.6,2,0,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,总和,167,60,,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,19.5,true,92.16,0.5,0,0,0,0,3.96,2,100,1,1.98,2,0,0,23.76,4,0,0,36.63,2,0,0,0,0,0,0,7.92,2,100,1,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,92972,蔡雨昕,Cai Yuxin,15,19,,1003320449,北京大学,PG,167,60,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1,1170,1,false,92.16,0.5,0,0,0,0,4.9,2,100,1,1.96,2,0,0,23.53,4,0,0,36.27,2,0,0,0,0,0,0,7.84,2,100,1,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,,,19,,1003320449,北京大学,总和,,,,20005,CUBAL一级联赛,200406,2024-25,2024,12,7346,122.4,true,85.31,0.555556,55.94,22,81.12,0.681818,49.65,14,70.63,0.357143,0,0,0,0,63.64,11,60.84,0.636364,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,C,190,115,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,11,7258,0.988,false,84.72,0.555556,55.56,22,80.56,0.681818,49.31,14,70.83,0.357143,0,0,0,0,64.58,11,60.42,0.636364,0,0,0,0,0,0,0,0,61.81,11,81.94,0.454545,49.31,3,0,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,19,,1003320449,北京大学,PF,190,115,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1,88,0.012,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CUBAL一级联赛,CUBAL一级联赛,30230,安恒瑶,An Hengyao,6,18,,1003320449,北京大学,总和,193,90,,20005,CUBAL一级联赛,200267,2023-24,2023,18,20222,337,true,98.28,0.617021,87.07,58,62.93,0.62069,75.86,36,97.41,0.611111,0,0,0,0,55.17,14,92.24,0.857143,0,0,0,0,0,0,0,0,70.69,22,94.83,0.545455,87.07,14,93.97,0.714286
