_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,球员ID,date,主客场,胜负,opponentId,对手,赛事ID,scheduleId,上场时间(分钟),上场时间(秒),_playerName
2022-23,2022,2022-23,全部,8,0,0,0,2,1,0,2,0,4,7,0.5714,0,0,0,0,0,0,0,3,0,0,0,0,32001,2023-05-26,0,1,,,20005,200050010352,19.1,1143,王乔睿
2022-23,2022,2022-23,全部,15,3,4,7,3,5,0,3,2,6,12,0.5,0,0,0,0,0,0,2,3,0.6667,1,1,1,32001,2023-05-27,1,1,,,20005,200050010367,26.9,1613,王乔睿
2022-23,2022,2022-23,全部,4,1,2,3,1,0,0,1,0,2,6,0.3333,0,0,0,0,0,0,0,3,0,0,0,0,32001,2023-05-28,1,1,,,20005,200050010375,22,1322,王乔睿
2022-23,2022,2022-23,全部,2,1,1,2,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,32001,2023-05-29,1,1,,,20005,200050010382,11.3,676,王乔睿
2022-23,2022,2022-23,全部,11,0,1,1,3,2,0,6,2,5,8,0.625,2,2,1,2,3,0.6667,1,3,0.3333,0,2,0,32001,2023-05-31,1,1,1003320780,上海交通大学,20005,200050010395,21.4,1281,王乔睿
2022-23,2022,2022-23,全部,7,2,4,6,6,0,0,2,0,2,6,0.3333,2,2,1,0,2,0,0,2,0,3,4,0.75,32001,2023-06-10,0,2,1003320442,华中科技大学,20005,200050010396,19.2,1151,王乔睿
2024-25,2024,2024-25,全部,7,1,1,2,6,0,0,0,1,3,6,0.5,2,2,1,0,0,0,1,4,0.25,0,0,0,80550,2025-05-30,0,1,1003320433,南京邮电大学,20005,200050010926,14.5,871,伍湘琳
2024-25,2024,2024-25,全部,5,2,1,3,2,0,0,2,0,2,7,0.2857,0,0,0,1,3,0.3333,1,4,0.25,0,0,0,80550,2025-05-31,1,1,2010422408,郑州大学,20005,200050010936,19.4,1162,伍湘琳
2024-25,2024,2024-25,全部,2,0,0,0,6,1,0,2,2,1,5,0.2,1,1,1,0,0,0,0,4,0,0,0,0,80550,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,10.8,648,伍湘琳
2024-25,2024,2024-25,全部,4,0,3,3,9,2,0,1,0,1,6,0.1667,0,0,0,1,2,0.5,0,4,0,2,2,1,80550,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,21.5,1290,伍湘琳
2024-25,2024,2024-25,全部,3,0,3,3,1,4,0,2,1,1,8,0.125,0,0,0,0,5,0,1,3,0.3333,0,0,0,80550,2024-11-02,0,2,1003320453,清华大学,20005,200050010693,26.9,1616,伍湘琳
2024-25,2024,2024-25,全部,2,2,2,4,4,0,0,0,1,1,3,0.3333,1,2,0.5,0,0,0,0,1,0,0,0,0,80550,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,9.1,547,伍湘琳
2024-25,2024,2024-25,全部,8,2,3,5,4,1,0,0,0,3,6,0.5,1,2,0.5,0,0,0,2,4,0.5,0,0,0,80550,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,12.2,730,伍湘琳
2024-25,2024,2024-25,全部,7,0,2,2,5,0,0,0,1,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,80550,2025-03-14,0,1,1003320658,华北电力大学,20005,200050010796,8.5,508,伍湘琳
2024-25,2024,2024-25,全部,9,1,2,3,7,1,0,2,1,3,7,0.4286,1,2,0.5,0,1,0,2,4,0.5,1,2,0.5,80550,2025-03-16,1,1,1003320661,天津财经大学,20005,200050010808,22.6,1355,伍湘琳
2024-25,2024,2024-25,全部,12,1,3,4,7,3,0,4,1,4,15,0.2667,1,3,0.3333,1,4,0.25,2,8,0.25,2,3,0.6667,80550,2025-03-17,0,2,1003320452,北京师范大学,20005,200050010815,37.5,2249,伍湘琳
2024-25,2024,2024-25,全部,13,0,4,4,9,2,0,2,2,4,15,0.2667,0,4,0,3,8,0.375,1,3,0.3333,4,4,1,80550,2025-03-18,1,1,2010422337,山东理工大学,20005,200050010820,34.2,2049,伍湘琳
2024-25,2024,2024-25,全部,8,2,0,2,3,1,0,0,0,3,8,0.375,1,2,0.5,0,1,0,2,5,0.4,0,0,0,80550,2025-06-01,1,1,2010422541,广西师范大学,20005,200050010947,21.9,1316,伍湘琳
2024-25,2024,2024-25,全部,10,2,1,3,2,1,0,1,3,3,7,0.4286,3,4,0.75,0,1,0,0,2,0,4,4,1,80550,2025-06-02,1,1,2010422538,武汉科技大学,20005,200050010958,18.1,1085,伍湘琳
2024-25,2024,2024-25,全部,9,1,1,2,3,1,0,1,0,3,6,0.5,2,3,0.6667,1,1,1,0,2,0,3,5,0.6,80550,2025-06-03,1,1,2010422416,山西财经大学,20005,200050010966,13.5,809,伍湘琳
2024-25,2024,2024-25,全部,21,2,2,4,4,8,0,2,1,5,15,0.3333,2,2,1,2,6,0.3333,1,7,0.1429,10,14,0.7143,80550,2025-06-04,0,1,2010422544,华中科技大学,20005,200050010970,33.1,1988,伍湘琳
2024-25,2024,2024-25,全部,19,3,3,6,2,1,0,0,2,6,19,0.3158,1,3,0.3333,3,7,0.4286,2,9,0.2222,5,7,0.7143,80550,2025-06-05,1,1,1003320452,北京师范大学,20005,200050010974,37.4,2245,伍湘琳
2024-25,2024,2024-25,全部,16,3,2,5,1,3,0,2,5,6,17,0.3529,2,5,0.4,2,3,0.6667,2,9,0.2222,2,2,1,80550,2025-06-06,1,1,1003320453,清华大学,20005,200050010977,25.1,1506,伍湘琳
2023-24,2023,2023-24,全部,5,0,1,1,3,1,0,1,1,2,7,0.2857,0,0,0,1,1,1,1,6,0.1667,0,0,0,80550,2024-01-22,0,1,2010421733,北京工业大学,20005,200050010420,22.6,1358,伍湘琳
2023-24,2023,2023-24,全部,0,0,1,1,6,1,0,2,0,0,5,0,0,0,0,0,2,0,0,3,0,0,0,0,80550,2024-01-23,0,1,1003320454,中国人民大学,20005,200050010425,15.7,939,伍湘琳
2023-24,2023,2023-24,全部,6,1,4,5,2,1,0,3,2,1,9,0.1111,1,1,1,0,4,0,0,4,0,4,4,1,80550,2024-01-25,0,1,1003320452,北京师范大学,20005,200050010430,16.3,980,伍湘琳
2023-24,2023,2023-24,全部,2,1,2,3,1,1,0,0,0,1,9,0.1111,1,1,1,0,3,0,0,5,0,0,0,0,80550,2024-01-26,0,2,1003320453,清华大学,20005,200050010432,17.5,1050,伍湘琳
2023-24,2023,2023-24,全部,8,1,2,3,2,1,0,2,0,3,9,0.3333,1,3,0.3333,0,0,0,2,6,0.3333,0,0,0,80550,2024-05-04,1,1,2010420380,东北师范大学,20005,200050010573,18.7,1120,伍湘琳
2023-24,2023,2023-24,全部,13,0,2,2,2,2,0,1,0,5,7,0.7143,3,3,1,0,0,0,2,4,0.5,1,2,0.5,80550,2024-05-05,0,1,1003320451,北京科技大学,20005,200050010579,22.5,1351,伍湘琳
2023-24,2023,2023-24,全部,8,0,0,0,4,1,0,0,0,3,7,0.4286,1,3,0.3333,0,0,0,2,4,0.5,0,0,0,80550,2024-05-07,1,1,1003320819,吉林大学,20005,200050010591,13.2,792,伍湘琳
2023-24,2023,2023-24,全部,0,1,0,1,3,0,0,1,1,0,4,0,0,1,0,0,1,0,0,2,0,0,0,0,80550,2024-05-08,0,1,1003320539,山东大学,20005,200050010599,11.4,686,伍湘琳
2023-24,2023,2023-24,全部,3,1,2,3,2,2,0,0,0,1,5,0.2,1,1,1,0,1,0,0,3,0,1,2,0.5,80550,2024-05-09,1,1,1003320545,中国海洋大学,20005,200050010606,15.3,916,伍湘琳
2023-24,2023,2023-24,全部,2,0,2,2,2,1,0,2,1,1,4,0.25,0,0,0,1,4,0.25,0,0,0,0,0,0,80550,2024-05-10,0,2,1003320453,清华大学,20005,200050010614,9.6,574,伍湘琳
2023-24,2023,2023-24,全部,3,0,1,1,1,2,0,0,1,1,5,0.2,0,0,0,0,1,0,1,4,0.25,0,0,0,80550,2024-06-06,1,1,1003320493,西安交通大学,20005,200050010627,13.3,797,伍湘琳
2023-24,2023,2023-24,全部,2,1,0,1,1,1,0,0,0,1,3,0.3333,0,1,0,1,2,0.5,0,0,0,0,0,0,80550,2024-06-07,0,1,1003320780,上海交通大学,20005,200050010634,10.3,619,伍湘琳
2023-24,2023,2023-24,全部,0,1,0,1,4,2,0,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,80550,2024-06-08,1,1,1000120194,湖南师范大学,20005,200050010648,13.3,798,伍湘琳
2023-24,2023,2023-24,全部,5,1,1,2,4,4,0,2,1,2,7,0.2857,1,2,0.5,0,1,0,1,4,0.25,0,0,0,80550,2024-06-09,1,1,1003320653,山西财经大学,20005,200050010654,18.2,1089,伍湘琳
2023-24,2023,2023-24,全部,0,1,1,2,1,1,0,1,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,80550,2024-06-11,1,1,1003320780,上海交通大学,20005,200050010667,11.9,715,伍湘琳
2023-24,2023,2023-24,全部,7,4,2,6,1,2,0,1,0,3,13,0.2308,3,4,0.75,0,2,0,0,7,0,1,1,1,80550,2024-06-29,1,1,1003320442,华中科技大学,20005,200050010669,18.9,1132,伍湘琳
2023-24,2023,2023-24,全部,13,1,1,2,0,1,0,0,3,5,14,0.3571,2,6,0.3333,3,5,0.6,0,3,0,3,4,0.75,80550,2024-06-30,1,1,1003320452,北京师范大学,20005,200050010671,24.5,1467,伍湘琳
2024-25,2024,2024-25,全部,16,0,5,5,2,1,1,1,2,7,11,0.6364,3,3,1,2,2,1,2,6,0.3333,0,0,0,32005,2025-05-30,0,1,1003320433,南京邮电大学,20005,200050010926,16.2,972,王家绘
2024-25,2024,2024-25,全部,16,0,4,4,1,2,0,1,1,8,10,0.8,5,6,0.8333,3,4,0.75,0,0,0,0,0,0,32005,2025-05-31,1,1,2010422408,郑州大学,20005,200050010936,19.4,1162,王家绘
2024-25,2024,2024-25,全部,23,6,7,13,3,2,2,1,2,10,14,0.7143,5,8,0.625,5,5,1,0,1,0,3,3,1,32005,2024-10-19,0,1,2010421729,北京体育大学,20005,200050010675,18.9,1131,王家绘
2024-25,2024,2024-25,全部,13,1,6,7,2,2,0,0,1,5,7,0.7143,4,5,0.8,0,1,0,1,1,1,2,3,0.6667,32005,2024-10-20,1,1,1003320454,中国人民大学,20005,200050010677,12.2,731,王家绘
2024-25,2024,2024-25,全部,23,3,7,10,1,3,1,11,5,10,15,0.6667,7,9,0.7778,3,6,0.5,0,0,0,3,8,0.375,32005,2024-10-23,0,1,1003320452,北京师范大学,20005,200050010681,37.1,2223,王家绘
2024-25,2024,2024-25,全部,12,1,4,5,4,2,0,1,3,6,7,0.8571,5,6,0.8333,1,1,1,0,0,0,0,0,0,32005,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,11.4,682,王家绘
2024-25,2024,2024-25,全部,11,5,8,13,2,5,0,5,3,5,8,0.625,5,7,0.7143,0,0,0,0,1,0,1,3,0.3333,32005,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,23.6,1414,王家绘
2024-25,2024,2024-25,全部,19,6,8,14,3,4,0,3,5,7,12,0.5833,3,4,0.75,4,7,0.5714,0,1,0,5,6,0.8333,32005,2024-11-02,0,2,1003320453,清华大学,20005,200050010693,32.8,1967,王家绘
2024-25,2024,2024-25,全部,6,0,1,1,2,0,0,1,0,2,3,0.6667,0,0,0,0,0,0,2,3,0.6667,0,0,0,32005,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,5.5,328,王家绘
2024-25,2024,2024-25,全部,11,2,4,6,7,4,0,1,0,5,9,0.5556,4,6,0.6667,0,0,0,1,3,0.3333,0,0,0,32005,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,15.3,920,王家绘
2024-25,2024,2024-25,全部,4,1,2,3,2,4,0,0,0,2,3,0.6667,2,3,0.6667,0,0,0,0,0,0,0,0,0,32005,2025-03-14,0,1,1003320658,华北电力大学,20005,200050010796,10.2,612,王家绘
2024-25,2024,2024-25,全部,10,5,6,11,3,2,0,0,1,4,11,0.3636,4,9,0.4444,0,0,0,0,2,0,2,4,0.5,32005,2025-03-16,1,1,1003320661,天津财经大学,20005,200050010808,23.2,1389,王家绘
2024-25,2024,2024-25,全部,14,1,4,5,5,1,0,2,5,6,11,0.5455,4,7,0.5714,0,1,0,2,3,0.6667,0,1,0,32005,2025-03-17,0,2,1003320452,北京师范大学,20005,200050010815,35.1,2108,王家绘
2024-25,2024,2024-25,全部,20,3,8,11,5,0,3,6,5,7,14,0.5,4,8,0.5,0,2,0,3,4,0.75,3,4,0.75,32005,2025-03-18,1,1,2010422337,山东理工大学,20005,200050010820,30.2,1810,王家绘
2024-25,2024,2024-25,全部,19,4,7,11,6,3,1,2,2,9,15,0.6,7,8,0.875,1,3,0.3333,1,4,0.25,0,0,0,32005,2025-06-01,1,1,2010422541,广西师范大学,20005,200050010947,24.3,1460,王家绘
2024-25,2024,2024-25,全部,19,2,4,6,4,5,4,0,2,9,14,0.6429,6,8,0.75,2,4,0.5,1,2,0.5,0,0,0,32005,2025-06-02,1,1,2010422538,武汉科技大学,20005,200050010958,19.8,1187,王家绘
2024-25,2024,2024-25,全部,17,6,3,9,3,7,0,5,4,7,18,0.3889,7,14,0.5,0,2,0,0,2,0,3,4,0.75,32005,2025-06-03,1,1,2010422416,山西财经大学,20005,200050010966,27.3,1637,王家绘
2024-25,2024,2024-25,全部,17,1,4,5,2,3,0,6,2,7,14,0.5,3,4,0.75,4,8,0.5,0,2,0,3,7,0.4286,32005,2025-06-04,0,1,2010422544,华中科技大学,20005,200050010970,34.1,2045,王家绘
2024-25,2024,2024-25,全部,20,0,7,7,1,3,0,4,2,9,21,0.4286,5,6,0.8333,4,11,0.3636,0,4,0,2,5,0.4,32005,2025-06-05,1,1,1003320452,北京师范大学,20005,200050010974,38.4,2305,王家绘
2024-25,2024,2024-25,全部,17,1,8,9,6,2,1,5,0,6,20,0.3,1,2,0.5,3,12,0.25,2,6,0.3333,3,5,0.6,32005,2025-06-06,1,1,1003320453,清华大学,20005,200050010977,30.6,1837,王家绘
2023-24,2023,2023-24,全部,12,3,5,8,2,4,0,0,0,6,12,0.5,5,8,0.625,1,1,1,0,3,0,0,2,0,32005,2024-01-22,0,1,2010421733,北京工业大学,20005,200050010420,15.1,905,王家绘
2023-24,2023,2023-24,全部,10,2,4,6,5,2,1,2,2,4,11,0.3636,2,5,0.4,1,3,0.3333,1,3,0.3333,1,4,0.25,32005,2024-01-23,0,1,1003320454,中国人民大学,20005,200050010425,23,1378,王家绘
2023-24,2023,2023-24,全部,6,5,8,13,2,2,0,1,4,3,11,0.2727,2,8,0.25,1,3,0.3333,0,0,0,0,0,0,32005,2024-01-24,0,1,1003320451,北京科技大学,20005,200050010427,17.8,1069,王家绘
2023-24,2023,2023-24,全部,19,5,3,8,3,6,1,3,3,6,13,0.4615,3,6,0.5,2,4,0.5,1,3,0.3333,6,14,0.4286,32005,2024-01-25,0,1,1003320452,北京师范大学,20005,200050010430,35.6,2136,王家绘
2023-24,2023,2023-24,全部,20,2,7,9,0,2,1,2,3,9,21,0.4286,1,4,0.25,6,8,0.75,2,9,0.2222,0,3,0,32005,2024-01-26,0,2,1003320453,清华大学,20005,200050010432,34.2,2052,王家绘
2023-24,2023,2023-24,全部,6,1,4,5,4,3,0,0,2,2,3,0.6667,1,1,1,0,0,0,1,2,0.5,1,1,1,32005,2024-05-04,1,1,2010420380,东北师范大学,20005,200050010573,9.7,580,王家绘
2023-24,2023,2023-24,全部,18,2,9,11,4,2,1,1,1,8,11,0.7273,5,6,0.8333,1,2,0.5,2,3,0.6667,0,0,0,32005,2024-05-05,0,1,1003320451,北京科技大学,20005,200050010579,18.4,1106,王家绘
2023-24,2023,2023-24,全部,7,5,3,8,1,4,2,1,2,3,5,0.6,3,4,0.75,0,0,0,0,1,0,1,2,0.5,32005,2024-05-07,1,1,1003320819,吉林大学,20005,200050010591,10.1,604,王家绘
2023-24,2023,2023-24,全部,11,2,5,7,5,6,0,1,1,4,9,0.4444,2,4,0.5,1,1,1,1,4,0.25,2,2,1,32005,2024-05-08,0,1,1003320539,山东大学,20005,200050010599,17.2,1029,王家绘
2023-24,2023,2023-24,全部,13,4,9,13,10,4,1,2,4,5,10,0.5,4,5,0.8,1,3,0.3333,0,2,0,3,5,0.6,32005,2024-05-09,1,1,1003320545,中国海洋大学,20005,200050010606,27.5,1649,王家绘
2023-24,2023,2023-24,全部,6,1,4,5,4,6,0,2,3,2,8,0.25,0,1,0,1,4,0.25,1,3,0.3333,1,2,0.5,32005,2024-05-10,0,2,1003320453,清华大学,20005,200050010614,34.6,2077,王家绘
2023-24,2023,2023-24,全部,17,2,5,7,2,8,0,0,2,8,10,0.8,5,5,1,2,3,0.6667,1,2,0.5,0,0,0,32005,2024-06-06,1,1,1003320493,西安交通大学,20005,200050010627,19.8,1185,王家绘
2023-24,2023,2023-24,全部,17,5,4,9,2,5,2,1,3,7,15,0.4667,1,2,0.5,6,10,0.6,0,3,0,3,3,1,32005,2024-06-07,0,1,1003320780,上海交通大学,20005,200050010634,28.3,1697,王家绘
2023-24,2023,2023-24,全部,15,1,5,6,3,1,1,2,3,6,9,0.6667,4,5,0.8,1,3,0.3333,1,1,1,2,2,1,32005,2024-06-08,1,1,1000120194,湖南师范大学,20005,200050010648,15.3,920,王家绘
2023-24,2023,2023-24,全部,10,0,3,3,3,3,0,2,1,5,6,0.8333,3,3,1,2,2,1,0,1,0,0,0,0,32005,2024-06-09,1,1,1003320653,山西财经大学,20005,200050010654,18.4,1101,王家绘
2023-24,2023,2023-24,全部,16,3,4,7,5,3,1,4,2,5,10,0.5,2,3,0.6667,0,4,0,3,3,1,3,8,0.375,32005,2024-06-11,1,1,1003320780,上海交通大学,20005,200050010667,31.7,1902,王家绘
2023-24,2023,2023-24,全部,17,6,3,9,3,2,3,7,2,6,17,0.3529,4,12,0.3333,0,1,0,2,4,0.5,3,5,0.6,32005,2024-06-29,1,1,1003320442,华中科技大学,20005,200050010669,30.3,1817,王家绘
2023-24,2023,2023-24,全部,20,1,5,6,2,0,0,3,2,7,12,0.5833,3,5,0.6,2,2,1,2,5,0.4,4,5,0.8,32005,2024-06-30,1,1,1003320452,北京师范大学,20005,200050010671,28.2,1690,王家绘
2022-23,2022,2022-23,全部,10,8,0,8,1,4,0,2,2,5,10,0.5,0,0,0,0,0,0,0,0,0,0,3,0,32005,2023-04-26,0,1,,,20005,200050010302,13.3,797,王家绘
2022-23,2022,2022-23,全部,12,4,4,8,0,5,1,3,2,6,15,0.4,0,0,0,0,0,0,0,3,0,0,1,0,32005,2023-04-27,1,1,,,20005,200050010311,20.2,1211,王家绘
2022-23,2022,2022-23,全部,13,0,1,1,5,13,0,1,1,4,9,0.4444,0,0,0,0,0,0,1,3,0.3333,4,4,1,32005,2023-04-28,0,1,,,20005,200050010315,20.2,1210,王家绘
2022-23,2022,2022-23,全部,8,2,3,5,3,0,0,0,0,4,10,0.4,0,0,0,0,0,0,0,3,0,0,2,0,32005,2023-04-29,1,1,,,20005,200050010324,19,1139,王家绘
2022-23,2022,2022-23,全部,6,3,2,5,0,1,0,3,5,3,11,0.2727,0,0,0,0,0,0,0,3,0,0,2,0,32005,2023-04-30,0,2,,,20005,200050010330,19.5,1168,王家绘
2022-23,2022,2022-23,全部,16,5,6,11,2,3,1,1,1,7,13,0.5385,0,0,0,0,0,0,1,3,0.3333,1,2,0.5,32005,2023-05-01,0,1,,,20005,200050010335,18.6,1113,王家绘
2022-23,2022,2022-23,全部,10,2,2,4,1,1,0,1,2,5,16,0.3125,0,0,0,0,0,0,0,5,0,0,0,0,32005,2023-05-02,1,1,,,20005,200050010337,23.1,1387,王家绘
2022-23,2022,2022-23,全部,11,4,6,10,1,4,0,2,0,5,9,0.5556,0,0,0,0,0,0,0,1,0,1,2,0.5,32005,2023-05-03,0,1,,,20005,200050010343,27.6,1656,王家绘
2022-23,2022,2022-23,全部,10,3,3,6,1,7,0,2,2,4,7,0.5714,0,0,0,0,0,0,0,1,0,2,2,1,32005,2023-05-26,0,1,,,20005,200050010352,24.3,1459,王家绘
2022-23,2022,2022-23,全部,17,3,2,5,0,2,0,2,3,7,11,0.6364,0,0,0,0,0,0,2,2,1,1,2,0.5,32005,2023-05-27,1,1,,,20005,200050010367,23.8,1425,王家绘
2022-23,2022,2022-23,全部,18,11,5,16,1,5,0,2,3,6,12,0.5,0,0,0,0,0,0,0,2,0,6,6,1,32005,2023-05-28,1,1,,,20005,200050010375,22.5,1348,王家绘
2022-23,2022,2022-23,全部,10,3,3,6,3,4,1,0,3,5,9,0.5556,0,0,0,0,0,0,0,0,0,0,0,0,32005,2023-05-29,1,1,,,20005,200050010382,17.5,1049,王家绘
2022-23,2022,2022-23,全部,8,2,10,12,3,3,1,2,1,3,10,0.3,3,5,0.6,0,3,0,0,2,0,2,3,0.6667,32005,2023-05-31,1,1,1003320780,上海交通大学,20005,200050010395,23.3,1396,王家绘
2022-23,2022,2022-23,全部,6,2,10,12,4,5,4,2,3,2,9,0.2222,2,3,0.6667,0,5,0,0,1,0,2,2,1,32005,2023-06-10,0,2,1003320442,华中科技大学,20005,200050010396,41.5,2492,王家绘
2022-23,2022,2022-23,全部,13,2,9,11,7,2,0,3,2,4,13,0.3077,3,7,0.4286,0,4,0,1,2,0.5,4,8,0.5,32005,2023-06-11,0,1,1003320435,中国矿业大学,20005,200050010398,31.3,1876,王家绘
2024-25,2024,2024-25,全部,7,1,5,6,4,1,0,3,5,2,3,0.6667,1,2,0.5,1,1,1,0,0,0,3,4,0.75,92136,2024-10-20,1,1,1003320454,中国人民大学,20005,200050010677,19.6,1178,冯蔡依曼
2024-25,2024,2024-25,全部,4,1,1,2,3,0,0,1,0,2,3,0.6667,0,1,0,2,2,1,0,0,0,0,0,0,92136,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,14.8,886,冯蔡依曼
2024-25,2024,2024-25,全部,2,0,0,0,1,0,0,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,92136,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,5.2,310,冯蔡依曼
2024-25,2024,2024-25,全部,2,2,4,6,1,2,0,1,2,0,4,0,0,4,0,0,0,0,0,0,0,2,2,1,92136,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,21.8,1308,冯蔡依曼
2024-25,2024,2024-25,全部,10,3,1,4,1,0,0,1,3,5,5,1,4,4,1,1,1,1,0,0,0,0,2,0,92136,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,13.9,836,冯蔡依曼
2024-25,2024,2024-25,全部,12,5,5,10,4,0,0,2,2,6,9,0.6667,6,8,0.75,0,1,0,0,0,0,0,0,0,92136,2025-03-14,0,1,1003320658,华北电力大学,20005,200050010796,20.8,1248,冯蔡依曼
2024-25,2024,2024-25,全部,4,1,2,3,1,0,0,0,0,2,5,0.4,1,3,0.3333,1,2,0.5,0,0,0,0,0,0,92136,2025-03-16,1,1,1003320661,天津财经大学,20005,200050010808,10,600,冯蔡依曼
2024-25,2024,2024-25,全部,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,92136,2025-03-18,1,1,2010422337,山东理工大学,20005,200050010820,6.8,405,冯蔡依曼
2023-24,2023,2023-24,全部,6,1,4,5,1,0,0,0,1,3,7,0.4286,2,3,0.6667,1,4,0.25,0,0,0,0,0,0,92136,2024-01-24,0,1,1003320451,北京科技大学,20005,200050010427,20.5,1231,冯蔡依曼
2024-25,2024,2024-25,全部,2,0,0,0,2,2,0,0,1,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,32006,2025-05-30,0,1,1003320433,南京邮电大学,20005,200050010926,10,601,李美潼
2024-25,2024,2024-25,全部,6,1,2,3,0,1,0,0,1,1,2,0.5,1,2,0.5,0,0,0,0,0,0,4,4,1,32006,2025-05-31,1,1,2010422408,郑州大学,20005,200050010936,14.5,869,李美潼
2024-25,2024,2024-25,全部,4,3,8,11,3,0,1,2,0,1,3,0.3333,0,1,0,1,2,0.5,0,0,0,2,4,0.5,32006,2024-10-19,0,1,2010421729,北京体育大学,20005,200050010675,18.8,1129,李美潼
2024-25,2024,2024-25,全部,4,3,2,5,3,1,0,0,0,2,4,0.5,2,4,0.5,0,0,0,0,0,0,0,0,0,32006,2024-10-20,1,1,1003320454,中国人民大学,20005,200050010677,12.7,761,李美潼
2024-25,2024,2024-25,全部,15,4,6,10,0,0,0,1,5,4,7,0.5714,2,2,1,2,5,0.4,0,0,0,7,9,0.7778,32006,2024-10-23,0,1,1003320452,北京师范大学,20005,200050010681,24.3,1459,李美潼
2024-25,2024,2024-25,全部,11,2,2,4,1,3,0,0,0,4,10,0.4,3,7,0.4286,1,2,0.5,0,1,0,3,3,1,32006,2024-10-27,0,1,2010421733,北京工业大学,20005,200050010688,13.1,788,李美潼
2024-25,2024,2024-25,全部,18,2,9,11,5,2,0,2,2,8,11,0.7273,6,8,0.75,2,3,0.6667,0,0,0,2,3,0.6667,32006,2024-10-30,1,1,1003320451,北京科技大学,20005,200050010690,26,1561,李美潼
2024-25,2024,2024-25,全部,18,3,5,8,2,3,0,3,2,7,13,0.5385,0,0,0,7,13,0.5385,0,0,0,4,8,0.5,32006,2024-11-02,0,2,1003320453,清华大学,20005,200050010693,29.1,1745,李美潼
2024-25,2024,2024-25,全部,2,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,32006,2025-03-11,0,1,2010422340,哈尔滨体育学院,20005,200050010783,3.6,214,李美潼
2024-25,2024,2024-25,全部,6,1,3,4,3,0,0,0,2,2,4,0.5,2,4,0.5,0,0,0,0,0,0,2,2,1,32006,2025-03-13,1,1,1003320821,中国民航大学,20005,200050010789,10.9,651,李美潼
2024-25,2024,2024-25,全部,5,0,2,2,1,1,0,1,0,2,3,0.6667,2,2,1,0,0,0,0,1,0,1,1,1,32006,2025-03-14,0,1,1003320658,华北电力大学,20005,200050010796,9.1,546,李美潼
2024-25,2024,2024-25,全部,10,0,1,1,1,0,1,1,3,5,5,1,5,5,1,0,0,0,0,0,0,0,0,0,32006,2025-03-16,1,1,1003320661,天津财经大学,20005,200050010808,15.8,950,李美潼
2024-25,2024,2024-25,全部,11,1,5,6,0,1,0,3,4,3,4,0.75,3,4,0.75,0,0,0,0,0,0,5,8,0.625,32006,2025-03-17,0,2,1003320452,北京师范大学,20005,200050010815,31.2,1872,李美潼
2024-25,2024,2024-25,全部,11,2,9,11,2,1,0,1,2,4,8,0.5,3,6,0.5,1,1,1,0,1,0,3,4,0.75,32006,2025-03-18,1,1,2010422337,山东理工大学,20005,200050010820,30.6,1838,李美潼
2024-25,2024,2024-25,全部,16,2,6,8,2,2,0,0,2,6,11,0.5455,5,8,0.625,1,3,0.3333,0,0,0,4,5,0.8,32006,2025-06-01,1,1,2010422541,广西师范大学,20005,200050010947,23.2,1391,李美潼
2024-25,2024,2024-25,全部,16,5,6,11,1,2,0,0,2,6,13,0.4615,3,7,0.4286,3,6,0.5,0,0,0,4,6,0.6667,32006,2025-06-02,1,1,2010422538,武汉科技大学,20005,200050010958,15.6,937,李美潼
2024-25,2024,2024-25,全部,2,0,2,2,0,1,0,1,1,1,2,0.5,1,2,0.5,0,0,0,0,0,0,0,0,0,32006,2025-06-03,1,1,2010422416,山西财经大学,20005,200050010966,6.6,396,李美潼
