_group,_leagueName,球队ID,球队名称,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,赛事ID,赛事名称,赛季ID,赛季,年份,球员ID,球员姓名,球员英文名,球衣号,年龄,sex,位置,身高,体重,位置(中文),lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队有效命中率百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手有效命中率百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,在场/不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,92,,Transition,0.3051,0.8519,108,52,,18,16,5,11,17,4,13,0.529412,0.6118,0.1882,0.2,16,0.1481,7,0.0648,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,31999,,,4,19,2,,192,93,,,9000,150,50.47,87.29,57.01,71.59,37.69,41.94,60.23,45.83,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,307,,Transition,0.246,0.9137,336,151,,47,71,33,38,52,9,43,0.547273,0.5511,0.2591,0.1898,36,0.1071,25,0.0744,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,31999,,,4,19,2,,192,93,,,34200,570,58.33,69.7,60.61,62.12,52.84,39.39,75.33,51.52,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0591,-0.0618,,,,,,,,,,,-0.0179,0.0607,-0.0709,0.0102,,0.041,,-0.0096,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,31999,,,4,19,2,,192,93,,,,,50.22,99.78,55.36,73.41,44.31,62.8,24.73,56.24,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,111,,Transition,0.3183,1.0472,106,47,,14,18,9,9,18,8,10,0.650602,0.5663,0.2169,0.2169,15,0.1415,8,0.0755,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,92972,,,5,20,2,,168,66,,,8378,139.6,73.14,88.52,78.8,47.17,61.66,52.12,60.6,47.88,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,319,,Transition,0.2588,0.8692,367,153,,46,50,24,26,65,18,47,0.589552,0.5709,0.1866,0.2425,65,0.1771,34,0.0926,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,92972,,,5,20,2,,168,66,,,35122,585.4,52.65,70.67,68.9,47.35,52.12,57.77,47.7,57.95,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0595,0.178,,,,,,,,,,,0.0611,-0.0046,0.0303,-0.0256,,-0.0356,,-0.0171,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,92972,,,5,20,2,,168,66,,,,,83.02,99.9,74.24,60.02,68.8,54.58,50.86,51.91,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,7,,Transition,0.2632,1.4,5,1,,0,1,1,0,2,1,1,0.875,0.25,0.25,0.5,0,0,1,0.2,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,92972,,,15,19,2,,167,60,,,585,9.8,96.39,76.89,99.05,12.33,49.91,92.03,100,93.74,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,392,,Transition,0.2579,0.8929,439,202,,65,86,37,49,67,12,55,0.539326,0.569,0.2423,0.1887,52,0.1185,31,0.0706,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,92972,,,15,19,2,,167,60,,,42615,710.3,56.06,75.38,58.71,64.39,48.3,39.39,69.89,48.67,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,,,Transition,0.0053,0.5071,,,,,,,,,,,0.3357,-0.319,0.0077,0.3113,,-0.1185,,0.1294,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,92972,,,15,19,2,,167,60,,,,,97.26,99.78,97.26,22.87,62.91,96.39,72.32,98.36,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,63,,Transition,0.2613,0.7778,81,29,,9,13,4,9,18,5,13,0.525,0.4833,0.2167,0.3,13,0.1605,8,0.0988,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30230,,,6,19,2,,190,115,,,7346,122.4,41.95,71.38,54.42,31.1,61.66,71.68,52.83,60.6,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320449,北京大学,367,,Transition,0.2737,0.9291,395,171,,51,55,29,26,65,21,44,0.620275,0.5876,0.189,0.2234,67,0.1696,37,0.0937,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,30230,,,6,19,2,,190,115,,,36154,602.6,59.54,75.44,74.91,52.12,53,55.12,49.29,57.95,,,,,,,,,在场
