teamId,teamName,teamLogo,节奏,调整净效率,净效率,百回合得分,百回合失分,回合数,有效投篮命中率,失误率(球队),进攻篮板率(球队),罚球率,对手有效命中率,对手失误率,对手进攻篮板率,对手罚球率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(秒),上场时间(分钟),adjNetRatingPctile,净效率百分位,进攻效率百分位,球队eFG%百分位,球队失误率百分位,球队进攻篮板率百分位,罚球率百分位,防守效率百分位,对手eFG%百分位,对手失误率百分位,对手进攻篮板率百分位,对手罚球率百分位,onOff,_period
1003321308,中国U17,,91,,12.2,116.3,104.1,368.88587,0.527066,0.183587,0.382653,0.168091,0.505017,0.193263,0.272727,0.274247,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,11673,194.6,,72.62,79.76,66.67,51.19,75,41.67,39.29,38.1,53.57,67.86,16.67,在场,CBDL 2025
1003321308,中国U17,,,,7.19,17.69,10.5,,0.053676,-0.039591,0.053031,-0.037677,0.023087,-0.056386,0.00547,-0.01485,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,4841,80.7,,62.67,91.33,78,80,77.33,33.33,22.67,35.33,11.33,48,55.33,差值,CBDL 2025
1003321308,中国U17,,91.7,,20.75,125.78,105.03,154.23875,0.559211,0.172437,0.416667,0.157895,0.477444,0.171167,0.309524,0.263158,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,4841,80.7,,83.33,92.86,79.76,58.33,85.71,35.71,38.1,44.05,40.48,55.95,19.05,不在场,CBDL 2025
1003321308,中国U17,,91.2,,13.56,108.09,94.53,302.536643,0.505535,0.212028,0.363636,0.195572,0.454357,0.227553,0.304054,0.278008,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,9559,159.3,,75,67.86,61.9,33.33,61.9,58.33,66.67,55.95,80.95,57.14,14.29,在场,CBDL 2025
1003321308,中国U17,,,,-1.78,-9.46,-7.68,,-0.049918,0.000762,-0.052436,0.075825,-0.000947,0.066396,-0.019179,0.064394,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,8052,134.2,,46.67,18.67,17.33,50.67,28,82,68.67,52,90.67,58,18,差值,CBDL 2025
1003321308,中国U17,,90.8,,16.98,119.37,102.39,200.220527,0.552083,0.198098,0.411215,0.140625,0.463068,0.171266,0.315789,0.238636,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,6348,105.8,,80.95,86.9,76.19,44.05,84.52,28.57,42.86,47.62,40.48,54.76,25,在场,CBDL 2025
1003321308,中国U17,,91.8,,15.2,109.91,94.71,256.564526,0.502165,0.19886,0.358779,0.21645,0.462121,0.237662,0.29661,0.30303,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,8052,134.2,,75,69.05,61.9,44.05,57.14,66.67,66.67,50,86.9,59.52,9.52,不在场,CBDL 2025
1003321308,中国U17,,,,15.66,1.98,-13.68,,0.0433,0.018809,-0.042799,0.010535,-0.118156,0.011047,0.019079,0.103585,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,3004,50.1,,75.33,57.33,73.33,34,31.33,57.33,82.67,96,56.67,42,6.67,差值,CBDL 2025
1003321308,中国U17,,91.4,,12.72,113.65,100.93,361.625255,0.516224,0.194684,0.390625,0.179941,0.486577,0.206383,0.301676,0.251678,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,11396,189.9,,73.81,73.81,64.29,45.24,79.76,44.05,52.38,42.86,61.9,59.52,20.24,在场,CBDL 2025
1003321308,中国U17,,91.1,,28.38,115.63,87.25,95.131415,0.559524,0.213493,0.347826,0.190476,0.368421,0.21743,0.320755,0.355263,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,3004,50.1,,89.29,78.57,79.76,32.14,53.57,53.57,80.95,86.9,71.43,53.57,4.76,不在场,CBDL 2025
