_group,_seasonYear,_season,_stageName,得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,playerId,date,主客场,胜负,opponentId,对手,leagueEventId,scheduleId,上场时间(分钟),上场时间(秒),_playerName
CBDL,2025,2025-26,全部,3,0,0,0,4,0,0,3,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,82168,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,15.5,927,涂瀚之
CBDL,2025,2025-26,全部,2,0,2,2,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,2,2,1,82168,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,12.4,744,涂瀚之
CBDL,2025,2025-26,全部,4,2,1,3,1,1,0,1,2,2,4,0.5,1,1,1,1,1,1,0,2,0,0,0,0,82168,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,20.1,1207,涂瀚之
CBDL,2025,2025-26,全部,4,0,0,0,2,4,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,4,4,1,82168,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,20.2,1213,涂瀚之
CBDL,2025,2025-26,全部,2,0,1,1,1,0,0,0,1,1,2,0.5,0,0,0,1,1,1,0,1,0,0,0,0,82168,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,11.8,710,涂瀚之
CBDL,2025,2025-26,全部,5,1,2,3,2,1,0,0,2,2,5,0.4,1,1,1,0,1,0,1,3,0.3333,0,0,0,82168,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,15.4,925,涂瀚之
CBDL,2025,2025-26,全部,20,1,7,8,0,0,0,2,3,7,12,0.5833,3,6,0.5,0,0,0,4,6,0.6667,2,2,1,82212,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,25.1,1506,张淳智
CBDL,2025,2025-26,全部,7,4,4,8,3,0,0,2,4,3,7,0.4286,2,2,1,0,1,0,1,4,0.25,0,0,0,82212,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,27.1,1627,张淳智
CBDL,2025,2025-26,全部,10,3,3,6,1,0,2,2,1,3,4,0.75,1,1,1,1,1,1,1,2,0.5,3,3,1,82212,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,23.6,1418,张淳智
CBDL,2025,2025-26,全部,4,3,2,5,3,0,1,0,4,2,8,0.25,2,2,1,0,1,0,0,5,0,0,0,0,82212,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,15.6,937,张淳智
CBDL,2025,2025-26,全部,8,0,1,1,0,0,0,0,3,3,4,0.75,2,2,1,0,0,0,1,2,0.5,1,1,1,34995,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,12.6,755,吕飞燕
CBDL,2025,2025-26,全部,2,1,0,1,1,1,1,1,4,1,4,0.25,1,2,0.5,0,1,0,0,1,0,0,0,0,34995,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,14.4,862,吕飞燕
CBDL,2025,2025-26,全部,3,0,0,0,1,1,0,1,1,0,5,0,0,1,0,0,2,0,0,2,0,3,4,0.75,34995,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,18.5,1110,吕飞燕
CBDL,2025,2025-26,全部,10,1,5,6,2,0,1,1,4,4,7,0.5714,1,2,0.5,1,2,0.5,2,3,0.6667,0,0,0,36317,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,16.8,1008,张懿赵杰
CBDL,2025,2025-26,全部,17,2,1,3,1,2,0,1,1,7,16,0.4375,5,8,0.625,1,3,0.3333,1,5,0.2,2,2,1,36317,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,27.9,1674,张懿赵杰
CBDL,2025,2025-26,全部,16,3,3,6,2,4,1,5,1,8,16,0.5,8,12,0.6667,0,1,0,0,3,0,0,1,0,36317,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,35.2,2109,张懿赵杰
CBDL,2025,2025-26,全部,16,4,3,7,4,1,1,5,2,7,22,0.3182,4,6,0.6667,3,7,0.4286,0,9,0,2,3,0.6667,36317,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,35.8,2145,张懿赵杰
CBDL,2025,2025-26,全部,18,1,7,8,7,4,1,2,1,7,15,0.4667,4,5,0.8,0,1,0,3,9,0.3333,1,3,0.3333,36317,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,25.9,1551,张懿赵杰
CBDL,2025,2025-26,全部,7,1,2,3,4,1,0,3,1,3,6,0.5,1,1,1,1,1,1,1,4,0.25,0,0,0,36317,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,19.5,1171,张懿赵杰
CBDL,2025,2025-26,全部,0,0,6,6,1,2,0,1,2,0,5,0,0,1,0,0,1,0,0,3,0,0,0,0,34608,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,17.8,1068,孙陈鹏
CBDL,2025,2025-26,全部,6,0,1,1,1,2,0,3,2,2,3,0.6667,0,0,0,0,0,0,2,3,0.6667,0,0,0,34608,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,21.9,1315,孙陈鹏
CBDL,2025,2025-26,全部,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34608,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,1,57,孙陈鹏
CBDL,2025,2025-26,全部,18,1,2,3,3,1,1,0,0,6,10,0.6,1,2,0.5,2,3,0.6667,3,5,0.6,3,3,1,34538,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,16.1,963,刘玄昱
CBDL,2025,2025-26,全部,2,0,0,0,0,0,0,0,0,1,3,0.3333,0,0,0,1,1,1,0,2,0,0,0,0,34538,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,5.7,341,刘玄昱
CBDL,2025,2025-26,全部,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,34538,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,2.3,140,刘玄昱
CBDL,2025,2025-26,全部,2,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,1,34538,2026-01-15,0,2,1003320593,广州龙狮(CBDL),20039,200390010279,4.3,255,刘玄昱
CBDL,2025,2025-26,全部,4,0,0,0,1,0,0,2,1,2,4,0.5,0,0,0,2,2,1,0,2,0,0,0,0,34538,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,8.8,530,刘玄昱
CBDL,2025,2025-26,全部,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,34644,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,9.7,579,谢方煜
CBDL,2025,2025-26,全部,0,1,1,2,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,34644,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,12.1,726,谢方煜
CBDL,2025,2025-26,全部,2,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,34644,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,2.5,151,谢方煜
CBDL,2025,2025-26,全部,3,1,1,2,1,0,0,4,3,1,5,0.2,0,0,0,0,2,0,1,3,0.3333,0,0,0,34644,2026-01-14,1,1,1003320596,四川锦城(CBDL),20039,200390010283,14.2,849,谢方煜
CBDL,2025,2025-26,全部,5,0,2,2,0,0,1,1,0,2,5,0.4,1,1,1,0,0,0,1,4,0.25,0,0,0,34644,2026-01-13,1,1,1003320597,浙江稠州银行(CBDL),20039,200390010286,11.7,699,谢方煜
CBDL,2025,2025-26,全部,17,6,0,6,1,0,0,2,1,6,7,0.8571,6,7,0.8571,0,0,0,0,0,0,5,5,1,34991,2026-01-19,1,1,2010420235,深圳马可波罗(CBDL),20039,200390010267,16.7,999,张子一
CBDL,2025,2025-26,全部,16,8,3,11,0,0,0,1,2,7,13,0.5385,7,13,0.5385,0,0,0,0,0,0,2,3,0.6667,34991,2026-01-18,0,2,2010420237,山东高速(CBDL),20039,200390010270,15.8,950,张子一
CBDL,2025,2025-26,全部,10,0,3,3,1,0,0,1,3,4,7,0.5714,4,6,0.6667,0,1,0,0,0,0,2,3,0.6667,34991,2026-01-17,0,2,2010420228,南京天之蓝CBDL,20039,200390010274,15.6,937,张子一
