得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,teamId,teamName,上场时间(分钟),wins,losses,seasonId,season,year,leagueEvent,winPct,leagueEventId,出场次数,对手得分,oppOffensiveRebounds,oppDefensiveRebounds,oppRebounds,oppAssists,oppSteals,oppBlocks,对手失误,oppPersonalFouls,oppFgM,oppFga,oppFgPct,对手篮下命中数,对手篮下出手数,对手篮下命中率,对手中距离命中数,对手中距离出手数,对手中距离命中率,对手三分命中数,对手三分出手数,对手三分命中率,oppFtM,oppFta,oppFtPct
560,83,181,264,128,54,24,121,130,186,457,,80,146,,33,105,,73,206,,115,146,,1003321308,中国U17,40,3,4,200310,2024,2024,U17世界杯,,10018,7,92.1429,17,28.5714,45.5714,22.5714,11.2857,4.5714,11.8571,19.1429,34.4286,75.8571,0.4539,18.8571,30.8571,0.6111,8.4286,21.8571,0.3856,7.1429,23.1429,0.3086,16.1429,22.1429,0.729
521,91,161,252,143,48,27,91,129,193,423,,104,164,,31,85,,58,174,,77,96,,1003321308,中国U17,40,3,3,200809,2025-26,2025,CBDL,,20039,6,74.6667,11.8333,24.5,36.3333,15.6667,9.1667,3,15.8333,17.6667,25.3333,62.3333,0.4064,12.5,24.3333,0.5137,5.8333,16,0.3646,7,22,0.3182,17,24.5,0.6939
