_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SG,195,83,得分后卫,20039,CBDL,200809,2025-26,2025,1,494,0.9,false,3.13,0.3,0,0,0,0,9.38,2,0,0,3.13,3,65.63,0.333333,21.88,2,100,1,9.38,1,0,0,3.13,2,87.5,0.5,0,1,0,0,21.88,1,0,0
CBDL,CBDL,34297,李雨泽,Li Yuze,9,15,,1003321308,中国U17,SF,195,83,小前锋,20039,CBDL,200809,2025-26,2025,1,55,0.1,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBDL,CBDL,82168,涂瀚之,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,11,5726,95.4,true,54.84,0.466667,9.68,3,61.29,0.666667,22.58,3,93.55,0.666667,29.03,9,32.26,0.222222,51.61,6,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,82168,涂瀚之,Tu Hanzhi,10,16,,1003321308,中国U17,SF,195,83,小前锋,20039,CBDL,200809,2025-26,2025,6,3189,0.557,false,59.38,0.5,6.25,2,21.88,0.5,9.38,1,100,1,0,4,40.63,0.25,50,6,100,1,34.38,3,0,0,0,1,100,1,21.88,1,100,1,0,0,0,0
CBDL,CBDL,82168,涂瀚之,Tu Hanzhi,10,16,,1003321308,中国U17,SG,195,83,得分后卫,20039,CBDL,200809,2025-26,2025,5,2537,0.443,false,46.88,0.4375,3.13,1,100,1,9.38,2,84.38,0.5,6.25,5,21.88,0.2,0,0,0,0,46.88,3,65.63,0.333333,3.13,2,0,0,21.88,2,71.88,0.5,0,0,0,0
CBDL,CBDL,82212,张淳智,,,16,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,7,5488,91.5,true,80.65,0.580645,58.06,11,87.1,0.727273,22.58,3,51.61,0.333333,58.06,17,70.97,0.352941,41.94,5,100,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,SF,194,85,小前锋,20039,CBDL,200809,2025-26,2025,4,5392,0.983,false,96.88,0.6,56.25,11,84.38,0.727273,12.5,2,84.38,0.5,59.38,17,68.75,0.352941,46.88,5,100,1,87.5,9,93.75,0.555556,46.88,8,9.38,0.125,21.88,1,0,0,21.88,1,100,1
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,SG,194,85,得分后卫,20039,CBDL,200809,2025-26,2025,2,91,0.017,false,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88,1,0,0
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,PF,194,85,大前锋,20039,CBDL,200809,2025-26,2025,1,5,0.001,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBDL,CBDL,34995,吕飞燕,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,4,2727,45.5,true,9.68,0.346154,22.58,5,48.39,0.6,22.58,3,0,0,3.23,5,25.81,0.2,41.94,5,58.06,0.8,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SF,202,87,小前锋,20039,CBDL,200809,2025-26,2025,3,2583,0.947,false,0,0.25,21.88,5,46.88,0.6,21.88,3,0,0,0,4,0,0,46.88,5,59.38,0.8,21.88,2,0,0,0,2,0,0,21.88,1,0,0,46.88,2,0,0
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SG,202,87,得分后卫,20039,CBDL,200809,2025-26,2025,1,144,0.053,false,100,1.5,0,0,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,0,0,0
CBDL,CBDL,36317,张懿赵杰,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,7,9658,161,true,55.17,0.481707,93.1,34,65.52,0.676471,89.66,15,65.52,0.4,93.1,33,48.28,0.212121,51.72,9,31.03,0.555556,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,PF,203,99,大前锋,20039,CBDL,200809,2025-26,2025,6,9653,0.999,false,53.33,0.481707,93.33,34,66.67,0.676471,86.67,15,63.33,0.4,90,33,46.67,0.212121,50,9,30,0.555556,90,9,83.33,0.444444,86.67,24,36.67,0.125,80,10,60,0.4,86.67,5,73.33,0.4
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,C,203,99,中锋,20039,CBDL,200809,2025-26,2025,1,5,0.001,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CBDL,CBDL,34608,孙陈鹏,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,4,2440,40.7,true,25.81,0.375,0,1,0,0,6.45,1,0,0,9.68,6,61.29,0.333333,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,SF,200,90,小前锋,20039,CBDL,200809,2025-26,2025,3,2435,0.998,false,25,0.375,0,1,0,0,9.38,1,0,0,9.38,6,59.38,0.333333,0,0,0,0,46.88,4,0,0,0,2,100,1,0,0,0,0,21.88,1,0,0
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,PF,200,90,大前锋,20039,CBDL,200809,2025-26,2025,1,5,0.002,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
