_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名
CBDL,CBDL,1003321308,中国U17,0.08459,-0.076391,0.098934,-0.025789,0.04,0.10218,0.070939,-0.205151,-0.045023,-0.227518,0.046296,-0.0625,-0.001273,-0.187238,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,,,,,240,,差值,,90,17.33,85.33,28,66.67,92,78,97.33,77.33,98.67,16.67,74.67,52,97.33
CBDL,CBDL,1003321308,中国U17,0.513624,0.39782,0.623288,0.20436,0.36,0.39782,0.321918,0.492188,0.396875,0.543307,0.25,0.375,0.353125,0.345133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,,,,,206.7,12402,在场,,64.29,51.19,57.14,40.48,57.14,60.71,70.24,39.29,50,69.05,29.76,39.29,60.71,25
CBDL,CBDL,1003321308,中国U17,0.598214,0.321429,0.722222,0.178571,0.4,0.5,0.392857,0.287037,0.351852,0.315789,0.296296,0.3125,0.351852,0.157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34506,齐鹏帆,,,16,,,,,,33.3,1998,不在场,,94.05,14.29,85.71,32.14,66.67,92.86,83.33,100,76.19,98.81,11.9,58.33,60.71,91.67
CBDL,CBDL,1003321308,中国U17,0.05667,0.145128,0.07013,-0.045075,-0.032521,-0.100053,0,0.224404,-0.10873,-0.014085,-0.044047,0.655914,0.152778,0.116571,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,,,,,240.1,,差值,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,0.522277,0.381188,0.62987,0.20297,0.365854,0.415842,0.333333,0.454167,0.394444,0.514085,0.258333,0.344086,0.347222,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,,,,,230.9,13851,在场,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,0.578947,0.526316,0.7,0.157895,0.333333,0.315789,0.333333,0.678571,0.285714,0.5,0.214286,1,0.5,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34297,李雨泽,,,15,,,,,,9.2,549,不在场,,,,,,,,,,,,,,,
CBDL,CBDL,1003321308,中国U17,0.033827,0.099648,0.026427,-0.011487,0.016509,-0.08816,0.008548,0.016463,0.011295,0.034483,0.017123,-0.009447,-0.028419,0.013278,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,,,,,240,,差值,,70,90.67,62.67,41.33,55.33,10.67,53.33,40,42,29.33,37.33,50.67,68.67,44
CBDL,CBDL,1003321308,中国U17,0.545455,0.448485,0.648649,0.193939,0.375,0.357576,0.338983,0.472603,0.39726,0.534483,0.267123,0.358974,0.335616,0.326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,,,,,95.4,5726,不在场,,75,76.19,73.81,36.9,60.71,40.48,73.81,46.43,48.81,72.62,23.81,42.86,71.43,29.76
CBDL,CBDL,1003321308,中国U17,0.511628,0.348837,0.622222,0.205426,0.358491,0.445736,0.330435,0.45614,0.385965,0.5,0.25,0.368421,0.364035,0.313253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,82168,涂瀚之,,,16,,,,,,144.6,8674,在场,,63.1,20.24,57.14,40.48,57.14,73.81,70.24,53.57,55.95,83.33,29.76,40.48,54.76,33.33
CBDL,CBDL,1003321308,中国U17,-0.021832,-0.038456,0.069576,-0.031086,0.035245,0.069542,-0.08542,0.036676,0.008449,-0.007393,-0.019226,-0.063568,0.010776,0.099512,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,82212,张淳智,,,16,,,,,,240,,差值,,34,32,75.33,25.33,63.33,84,16.67,28,48.67,48.67,64,75.33,43.33,12.67
