_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,SG,194,85,得分后卫,20039,CBDL,200809,2025-26,2025,2,91,0.017,false,0,0,0,0,0,0,0,0,0,0.5,,0,0,0,0,,
CBDL,CBDL,82212,张淳智,Zhang Chunzhi,11,16,,1003321308,中国U17,PF,194,85,大前锋,20039,CBDL,200809,2025-26,2025,1,5,0.001,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CBDL,CBDL,34995,吕飞燕,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,4,2727,45.5,true,19.35,0.02381,0,0.017857,50,0.022805,80.65,0.019231,3.13,0.091219,,5,5,3,2,,0.4
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SF,202,87,小前锋,20039,CBDL,200809,2025-26,2025,3,2583,0.947,false,25,0.02439,3.13,0.018519,53.13,0.024125,78.13,0.019231,3.13,0.084438,,5,5,3,2,,0.4
CBDL,CBDL,34995,吕飞燕,Lv Feiyan,12,15,,1003321308,中国U17,SG,202,87,得分后卫,20039,CBDL,200809,2025-26,2025,1,144,0.053,false,0,0,0,0,0,0,0,0,0,0.208333,,0,0,0,0,,
CBDL,CBDL,36317,张懿赵杰,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,7,9658,161,true,65.52,0.074534,51.72,0.14,89.66,0.039913,75.86,0.025478,55.17,0.029934,45.45,16,16,9,7,77.27,0.4375
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,PF,203,99,大前锋,20039,CBDL,200809,2025-26,2025,6,9653,0.999,false,63.33,0.074534,50,0.14,86.67,0.039913,73.33,0.025478,56.67,0.029934,47.83,16,16,9,7,78.26,0.4375
CBDL,CBDL,36317,张懿赵杰,Zhang Yizhaojie,13,15,,1003321308,中国U17,C,203,99,中锋,20039,CBDL,200809,2025-26,2025,1,5,0.001,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CBDL,CBDL,34608,孙陈鹏,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,4,2440,40.7,true,0,0,100,0.194444,96.88,0.057244,0,0,6.25,0.071555,,7,7,1,6,,0.857143
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,SF,200,90,小前锋,20039,CBDL,200809,2025-26,2025,3,2435,0.998,false,0,0,100,0.194444,96.88,0.057244,0,0,6.25,0.071555,,7,7,1,6,,0.857143
CBDL,CBDL,34608,孙陈鹏,Sun Chenpeng,14,15,,1003321308,中国U17,PF,200,90,大前锋,20039,CBDL,200809,2025-26,2025,1,5,0.002,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CBDL,CBDL,34538,刘玄昱,,,15,,1003321308,中国U17,总和,,,,20039,CBDL,200809,2025-26,2025,7,2229,37.2,true,10.34,0.025,6.9,0.083333,73.33,0.028774,79.31,0.027778,86.67,0.014387,,9,9,5,4,,0.444444
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,PF,200,92,大前锋,20039,CBDL,200809,2025-26,2025,4,1733,0.777,false,20,0.032258,23.33,0.103448,83.33,0.035139,86.67,0.032258,76.67,0.017569,,8,8,5,3,,0.375
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,SF,200,92,小前锋,20039,CBDL,200809,2025-26,2025,2,491,0.22,false,0,0,0,0,0,0,0,0,100,0,,1,1,0,1,,1
CBDL,CBDL,34538,刘玄昱,Liu Xuanyu,15,15,,1003321308,中国U17,C,200,92,中锋,20039,CBDL,200809,2025-26,2025,1,5,0.002,false,0,0,0,0,0,0,0,0,100,0,,0,0,0,0,,
CBDL,CBDL,34644,谢方煜,Xie Fangyu,16,15,,1003321308,中国U17,总和,204,95,,20039,CBDL,200809,2025-26,2025,5,3004,50.1,true,48.28,0.065217,34.48,0.113208,24.14,0.010354,65.52,0.018519,44.83,0.031061,4.55,11,11,3,8,4.55,0.727273
CBDL,CBDL,34644,谢方煜,Xie Fangyu,16,15,,1003321308,中国U17,PF,204,95,大前锋,20039,CBDL,200809,2025-26,2025,5,3004,1,false,46.67,0.065217,33.33,0.113208,23.33,0.010354,63.33,0.018519,46.67,0.031061,8.7,11,11,3,8,8.7,0.727273
CBDL,CBDL,34991,张子一,Zhang Ziyi,17,15,,1003321308,中国U17,总和,208,100,,20039,CBDL,200809,2025-26,2025,6,4841,80.7,true,100,0.22619,55.56,0.166667,48.15,0.013167,29.63,0.021053,29.63,0.052667,26.92,22,22,11,11,42.31,0.5
CBDL,CBDL,34991,张子一,Zhang Ziyi,17,15,,1003321308,中国U17,C,208,100,中锋,20039,CBDL,200809,2025-26,2025,6,4841,1,false,100,0.22619,53.57,0.166667,46.43,0.013167,28.57,0.021053,32.14,0.052667,25.93,22,22,11,11,51.85,0.5
CBDL,CBDL,34691,姚嘉泽,Yao Jiayi,18,15,,1003321308,中国U17,总和,210,93,,20039,CBDL,200809,2025-26,2025,3,1497,25,true,85.71,0.173913,100,0.266667,0,0,53.57,0.043478,0,0.087013,,7,7,5,2,,0.285714
CBDL,CBDL,34691,姚嘉泽,Yao Jiayi,18,15,,1003321308,中国U17,C,210,93,中锋,20039,CBDL,200809,2025-26,2025,3,1497,1,false,85.71,0.173913,100,0.266667,0,0,53.57,0.043478,0,0.087013,,7,7,5,2,,0.285714
CBDL,CBDL,34962,赵博新,Zhao Boxin,19,15,,1003321308,中国U17,总和,214,100,,20039,CBDL,200809,2025-26,2025,6,8052,134.2,true,77.78,0.129771,96.3,0.262712,18.52,0.007792,96.3,0.104839,25.93,0.054545,73.08,35,35,27,8,100,0.228571
CBDL,CBDL,34962,赵博新,Zhao Boxin,19,15,,1003321308,中国U17,C,214,100,中锋,20039,CBDL,200809,2025-26,2025,6,8052,1,false,75,0.129771,92.86,0.262712,17.86,0.007792,92.86,0.104839,28.57,0.054545,74.07,35,35,27,8,100,0.228571
