_group,_seasonYear,_season,playerId,playerName,teamId,leagueEventId,seasonId,stageType,gameMode,opponentId,对手,胜负,playerEnName,number,position,上场时间(秒),上场时间(分钟),scheduleId,gameStart,date,出场次数,首发次数,单场正负值百分位排名,单场正负值,球权使用率百分位排名,球权使用率,真实投篮命中率百分位排名,真实投篮命中率,助攻率百分位排名,助攻率,失误率百分位排名,失误率,抢断率,抢断率百分位排名,盖帽率,盖帽率百分位排名,进攻篮板率,进攻篮板率百分位排名,防守篮板率,防守篮板率百分位排名,防守投篮出手数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率
CBDL,2025,2025-26,82404,杨子默,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Yang Zimo,7,SG,423,7.1,200390010270,0,2026-01-18,1,0,,1.07,,0.328947,,0.5,,0,,0,0,,0,,0,,0,,1,0,1,1
CBDL,2025,2025-26,82404,杨子默,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Yang Zimo,7,SG,657,11,200390010274,1,2026-01-17,1,0,20.46,-0.03,0,0.036179,0,0,75,0.222222,100,0,0,0,0,0,0,0,0,0,4,1,3,0.75
CBDL,2025,2025-26,82404,杨子默,1003321308,20039,200809,,2,1003320593,广州龙狮(CBDL),2,Yang Zimo,7,SG,1232,20.5,200390010279,0,2026-01-15,1,0,41.94,2.1,9.38,0.129646,93.75,0.666667,0,0,100,0,0,0,0,0,0.047619,71.88,0,0,1,0,1,1
CBDL,2025,2025-26,82404,杨子默,1003321308,20039,200809,,2,1003320596,四川锦城(CBDL),1,Yang Zimo,7,SG,565,9.4,200390010283,0,2026-01-14,1,0,,0.88,,0.24,,0.5,,0,,0,0,,0,,0,,0,,0,0,0,
CBDL,2025,2025-26,34506,齐鹏帆,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Qi Pengfan,8,SG,897,15,200390010267,0,2026-01-19,1,0,21.63,0.08,96.88,0.289575,0,0.1875,0,0,71.88,0.111111,0.108201,100,0,0,0,0,0,0,0,0,0,
CBDL,2025,2025-26,34506,齐鹏帆,1003321308,20039,200809,,2,1003320597,浙江稠州银行(CBDL),1,Qi Pengfan,8,SG,1101,18.4,200390010286,0,2026-01-13,1,0,78.66,6.36,25,0.169574,96.88,0.75,43.75,0.153846,50,0.142857,0.052502,93.75,0,0,0,0,0.12,68.75,0,0,0,
CBDL,2025,2025-26,34297,李雨泽,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Li Yuze,9,SG,549,9.2,200390010274,0,2026-01-17,1,0,,0.69,,0.253448,,0.42517,,0,,0,0,,0,,0,,0.2,,0,0,0,
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,2010420235,深圳马可波罗(CBDL),1,Tu Hanzhi,10,SF,927,15.5,200390010267,1,2026-01-19,1,0,21.34,0.07,6.25,0.110865,100,1.5,93.75,0.285714,0,0.75,0,0,0,0,0,0,0,0,1,1,0,0
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,2010420237,山东高速(CBDL),2,Tu Hanzhi,10,SF,744,12.4,200390010270,1,2026-01-18,1,0,11.32,-1.17,6.25,0.115339,59.38,0.531915,0,0,0,0.515464,0,0,0,0,0,0,0.153846,87.5,1,1,0,0
CBDL,2025,2025-26,82168,涂瀚之,1003321308,20039,200809,,2,2010420228,南京天之蓝CBDL,2,Tu Hanzhi,10,SF,1207,20.1,200390010274,0,2026-01-17,1,0,34.4,1.33,3.13,0.108225,53.13,0.5,12.5,0.058824,25,0.2,0.02337,53.13,0,0,0.117647,93.75,0.076923,12.5,2,0,2,1
