_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名
CBDL,CBDL,8041,134,6,Isolation,5,1,5,2,1,1,0,0,0,3,1,2,0,0.5,0.4,0,0.6,0,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.8928,1.3433,,,,,,,,,
CBDL,CBDL,8041,134,6,Spot-Up,6,0.75,8,0,0,0,1,0,1,7,2,5,0,0.375,0,0.125,0.875,0,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,3.0285,2.1493,,,,,,,,,
CBDL,CBDL,8041,134,6,Off-Screen,2,0.5,4,1,1,0,1,0,1,2,0,2,0,0.25,0.25,0.25,0.5,0,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.5143,1.0746,,,,,,,,,
CBDL,CBDL,8041,134,6,Hand-Off,6,2,3,1,0,1,0,0,0,2,2,0,0,1,0.3333,0,0.6667,0,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.1357,0.806,,,,,,,,,
CBDL,CBDL,8041,134,6,Cut,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,0.3786,0.2687,,,,,,,,,
CBDL,CBDL,8041,134,6,Miscellaneous,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,34577,陈昱休,Chen Yuxiu,6,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,0.7571,0.5373,,,,,,,,,
CBDL,CBDL,3880,64.7,5,Transition,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,82404,杨子默,Yang Zimo,7,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,2.3613,1.6692,,,,,,,,,
CBDL,CBDL,3880,64.7,5,Spot-Up,19,1,19,0,0,0,3,2,1,15,5,10,1,0.527778,0,0.1667,0.8333,0.0526,0,0,82404,杨子默,Yang Zimo,7,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,14.9547,10.5719,94.62,94.62,74.19,76.34,0,49.46,80.65,63.44,0
CBDL,CBDL,3880,64.7,5,Off-Screen,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0.5,0,0.5,0,0,0,82404,杨子默,Yang Zimo,7,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.5742,1.1128,,,,,,,,,
CBDL,CBDL,3880,64.7,5,Hand-Off,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,82404,杨子默,Yang Zimo,7,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,0.7871,0.5564,,,,,,,,,
CBDL,CBDL,3880,64.7,5,P&R-Roll-Man,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,82404,杨子默,Yang Zimo,7,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,0.7871,0.5564,,,,,,,,,
CBDL,CBDL,1998,33.3,2,Transition,4,1,4,3,2,1,0,0,0,0,0,0,1,0.666667,1,0,0,0.25,0,0,34506,齐鹏帆,Qi Pengfan,8,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,6.2173,4.3243,,,,,,,,,
CBDL,CBDL,1998,33.3,2,P&R-Ball-Handler,2,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,34506,齐鹏帆,Qi Pengfan,8,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.5543,1.0811,,,,,,,,,
CBDL,CBDL,1998,33.3,2,Spot-Up,6,0.6,10,0,0,0,3,0,3,7,2,5,0,0.3,0,0.3,0.7,0,0,0,34506,齐鹏帆,Qi Pengfan,8,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,15.5432,10.8108,96.77,96.77,16.13,17.2,0,81.72,46.24,100,0
CBDL,CBDL,1998,33.3,2,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,34506,齐鹏帆,Qi Pengfan,8,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,1.5543,1.0811,,,,,,,,,
CBDL,CBDL,549,9.2,1,Spot-Up,3,1.5,2,0,0,0,1,0,1,1,1,0,0,0.75,0,0.5,0.5,0,0,0,34297,李雨泽,Li Yuze,9,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,10.9981,7.8261,,,,,,,,,
CBDL,CBDL,549,9.2,1,Off-Screen,2,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0.5,34297,李雨泽,Li Yuze,9,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,10.9981,7.8261,,,,,,,,,
CBDL,CBDL,549,9.2,1,Hand-Off,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,34297,李雨泽,Li Yuze,9,,,1003321308,中国U17,SG,,,得分后卫,20039,CBDL,200809,2025-26,2025,10.9981,7.8261,,,,,,,,,
