teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,teamTotalNum,出场次数,leagueEventId,leagueEvent,seasonId,season,year,pctPlaytypeRank,teamPppRank,teamEfgPctRank,teamPctRfgaRank,teamPctMfgaRank,teamPctThfgaRank,teamPctTovRank,teamPctFtRank,oppPctPlaytypeRank,oppPppRank,oppEfgPctRank,oppPctRfgaRank,oppPctMfgaRank,oppPctThfgaRank,oppPctTovRank,oppPctFtRank
1003321308,中国U17,38,,Cut,0.0638,0.9268,41,23,11,12,11,5,6,0,0,0,0.470588,0.6765,0.3235,0,4,0.0976,3,0.0732,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,13,15,14,12,5,16,14,16,,,,,,,,
1003321308,中国U17,16,,Hand-Off,0.0327,0.7619,21,4,1,3,2,0,2,11,4,7,0.411765,0.2353,0.1176,0.6471,3,0.1429,1,0.0476,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,5,8,9,7,15,4,5,10,,,,,,,,
1003321308,中国U17,20,,Isolation,0.0327,0.9524,21,6,4,2,4,1,3,3,1,2,0.5,0.4615,0.3077,0.2308,4,0.1905,4,0.1905,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,9,5,5,3,14,9,12,4,,,,,,,,
1003321308,中国U17,28,,Miscellaneous,0.1213,0.359,78,4,3,1,1,0,1,4,0,4,0.333333,0.4444,0.1111,0.4444,53,0.6795,16,0.2051,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,7,8,10,8,13,3,12,3,,,,,,,,
1003321308,中国U17,26,,Off-Screen,0.0451,0.8966,29,2,2,0,5,2,3,19,6,13,0.5,0.0769,0.1923,0.7308,3,0.1034,0,0,,,,,,,,,,,,,,,,,,,,,16,6,10018,U17世界杯,200310,2024,2024,4,7,6,10,11,5,12,16,,,,,,,,
1003321308,中国U17,76,,P&R-Ball-Handler,0.1477,0.8,95,9,5,4,23,6,17,28,11,17,0.458333,0.15,0.3833,0.4667,22,0.2316,13,0.1368,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,4,3,4,14,13,1,9,2,,,,,,,,
1003321308,中国U17,45,,P&R-Roll-Man,0.042,1.6667,27,6,5,1,8,6,2,11,7,4,0.86,0.24,0.32,0.44,1,0.037,1,0.037,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,5,2,2,15,8,5,9,13,,,,,,,,
1003321308,中国U17,31,,Post-Up,0.0591,0.8158,38,15,8,7,12,2,10,0,0,0,0.37037,0.5556,0.4444,0,4,0.1053,7,0.1842,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,3,10,15,7,10,16,4,3,,,,,,,,
1003321308,中国U17,34,,Put-Backs,0.0607,0.8718,39,26,12,14,2,0,2,2,1,1,0.45,0.8667,0.0667,0.0667,6,0.1538,3,0.0769,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,12,15,15,6,16,1,16,13,,,,,,,,
1003321308,中国U17,131,,Spot-Up,0.2271,0.8973,146,7,3,4,22,4,18,105,36,69,0.455224,0.0522,0.1642,0.7836,7,0.0479,5,0.0342,,,,,,,,,,,,,,,,,,,,,16,7,10018,U17世界杯,200310,2024,2024,11,3,7,15,13,4,1,12,,,,,,,,
