teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_period
1003321308,中国U17,0.537037,0.303704,0.682927,0.214815,0.344828,0.481481,0.353846,0.355372,0.404959,0.530612,0.297521,0.305556,0.297521,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,,,,,79,4742,在场,,73.81,9.52,79.76,45.24,54.76,89.29,75,91.67,42.86,73.81,11.9,59.52,83.33,97.62,CBDL 2025
1003321308,中国U17,0.519097,0.427083,0.617886,0.194444,0.375,0.378472,0.321101,0.513834,0.383399,0.505155,0.237154,0.4,0.379447,0.395833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,36317,张懿赵杰,,,15,,,,,,161,9658,不在场,,64.29,70.24,57.14,36.9,60.71,50,70.24,35.71,57.14,79.76,36.9,33.33,50,16.67,CBDL 2025
1003321308,中国U17,-0.013177,-0.048789,0.101295,0.109331,-0.041667,-0.060541,-0.030146,-0.211684,-0.021316,-0.149516,0.079197,-0.041667,-0.057881,-0.280015,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,240.1,,差值,,39.33,26,87.33,100,30.67,24,37.33,98.67,62,91.33,3.33,64.67,81.33,99.33,CBDL 2025
1003321308,中国U17,0.513889,0.347222,0.72,0.291667,0.333333,0.361111,0.307692,0.293333,0.373333,0.392857,0.32,0.333333,0.306667,0.086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,45.5,2727,不在场,,64.29,20.24,84.52,86.9,51.19,44.05,65.48,100,61.9,95.24,8.33,48.81,79.76,100,CBDL 2025
1003321308,中国U17,0.527066,0.396011,0.618705,0.182336,0.375,0.421652,0.337838,0.505017,0.394649,0.542373,0.240803,0.375,0.364548,0.366972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34995,吕飞燕,,,15,,,,,,194.6,11673,在场,,66.67,50,57.14,32.14,60.71,65.48,73.81,38.1,50,69.05,34.52,39.29,54.76,21.43,CBDL 2025
1003321308,中国U17,0.053676,0.062318,-0.03108,-0.046659,-0.026727,-0.015658,0.092558,0.023087,0.117617,-0.02381,-0.013291,-0.093795,-0.104327,0.107503,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,240,,差值,,79.33,80,36.67,14,36.67,42.67,86,35.33,2,60,59.33,81.33,95.33,9.33,CBDL 2025
1003321308,中国U17,0.559211,0.427632,0.615385,0.171053,0.346154,0.401316,0.393443,0.477444,0.466165,0.5,0.24812,0.30303,0.285714,0.394737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,80.7,4841,不在场,,79.76,70.24,57.14,25,54.76,61.9,83.33,44.05,17.86,83.33,29.76,59.52,86.9,16.67,CBDL 2025
1003321308,中国U17,0.505535,0.365314,0.646465,0.217712,0.372881,0.416974,0.300885,0.454357,0.348548,0.52381,0.261411,0.396825,0.390041,0.287234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34991,张子一,,,15,,,,,,159.3,9559,在场,,61.9,33.33,71.43,48.81,59.52,65.48,61.9,55.95,79.76,75,26.19,33.33,44.05,44.05,CBDL 2025
1003321308,中国U17,-0.049918,0.013731,0.007226,0.043696,0.019608,-0.057427,-0.084336,-0.000947,-0.06755,0.01446,0.023359,0.154892,0.044192,-0.078285,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,240,,差值,,18.67,52,54,82.67,57.33,26,17.33,51.33,85.33,38,34.67,10.67,22,78,CBDL 2025
1003321308,中国U17,0.552083,0.380208,0.630137,0.177083,0.352941,0.442708,0.376471,0.463068,0.426136,0.506667,0.244318,0.27907,0.329545,0.362069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,105.8,6348,在场,,76.19,39.29,60.71,30.95,54.76,73.81,82.14,47.62,30.95,79.76,29.76,67.86,73.81,22.62,CBDL 2025
1003321308,中国U17,0.502165,0.393939,0.637363,0.220779,0.372549,0.385281,0.292135,0.462121,0.358586,0.521127,0.267677,0.433962,0.373737,0.283784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34962,赵博新,,,15,,,,,,134.2,8052,不在场,,61.9,50,69.05,52.38,59.52,52.38,60.71,50,69.05,76.19,21.43,21.43,50,44.05,CBDL 2025
1003321308,中国U17,0.0433,-0.142119,0.071539,0.001791,-0.161765,0.140329,0.101399,-0.118156,0.038503,0.142544,0.041152,-0.178132,-0.079654,-0.272727,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,240,,差值,,74.67,4.67,76.67,54.67,6.67,97.33,87.33,94.67,26.67,5.33,21.33,94,88,98.67,CBDL 2025
1003321308,中国U17,0.516224,0.415929,0.624113,0.20059,0.397059,0.383481,0.307692,0.486577,0.38255,0.482456,0.248322,0.405405,0.369128,0.363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,189.9,11396,在场,,64.29,66.67,57.14,39.29,66.67,52.38,65.48,42.86,58.33,83.33,29.76,29.76,51.19,22.62,CBDL 2025
1003321308,中国U17,0.559524,0.27381,0.695652,0.202381,0.235294,0.52381,0.409091,0.368421,0.421053,0.625,0.289474,0.227273,0.289474,0.090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34644,谢方煜,,,15,,,,,,50.1,3004,不在场,,79.76,4.76,80.95,39.29,17.86,95.24,84.52,86.9,32.14,42.86,14.29,83.33,85.71,100,CBDL 2025
1003321308,中国U17,-0.012055,-0.058948,-0.029602,0.040928,0.012681,0.01802,0.013794,0.025928,0.026846,0.123718,-0.07962,-0.035715,0.052774,-0.047103,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,240,,差值,,40,22.67,37.33,81.33,53.33,60.67,58.67,34,33.33,8.67,90.67,62.67,17.33,68.67,CBDL 2025
1003321308,中国U17,0.526761,0.397183,0.638298,0.194366,0.362319,0.408451,0.331034,0.458199,0.385852,0.491667,0.270096,0.369048,0.344051,0.327103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,199.3,11960,在场,,66.67,51.19,69.05,36.9,57.14,64.29,70.24,52.38,55.95,83.33,20.24,40.48,65.48,29.76,CBDL 2025
1003321308,中国U17,0.514706,0.338235,0.608696,0.235294,0.375,0.426471,0.344828,0.484127,0.412698,0.615385,0.190476,0.333333,0.396825,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34608,孙陈鹏,,,15,,,,,,40.7,2440,不在场,,64.29,20.24,54.76,59.52,60.71,65.48,73.81,42.86,36.9,42.86,66.67,48.81,39.29,48.81,CBDL 2025
1003321308,中国U17,0.029303,0.06694,0.040625,-0.040711,-0.002218,-0.02623,0,0.003017,0.096531,-0.174819,0.003017,-0.076923,-0.099548,0.153209,,,,,,,,,,,,,,,,,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,,,,,240,,差值,,66.67,82.67,67.33,18,47.33,38,46.67,50,8,93.33,48,80,93.33,2.67,CBDL 2025
1003321308,中国U17,0.508197,0.349727,0.609375,0.224044,0.365854,0.42623,0.333333,0.460784,0.333333,0.627451,0.254902,0.410256,0.411765,0.238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20039,CBDL,200809,2025-26,2025,34577,陈昱休,,,16,,,,,,106,6359,在场,,61.9,21.43,57.14,52.38,59.52,65.48,70.24,50,80.95,41.67,26.19,27.38,35.71,67.86,CBDL 2025
