teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,teamTotalNum,leagueEventId,leagueEvent,seasonId,season,year,出场次数,wins,losses,teamEfgPctRank,teamPctRfgaRank,teamRfgPctRank,teamPctMfgaRank,teamMfgPctRank,teamPctThfgaRank,teamThfgPctRank,oppEfgPctRank,oppPctRfgaRank,oppRfgPctRank,oppPctMfgaRank,oppMfgPctRank,oppPctThfgaRank,oppThfgPctRank,teamPctSmfgaRank,teamSmfgPctRank,teamPctLmfgaRank,teamLmfgPctRank,teamPctCornerThfgaRank,teamCornerThfgPctRank,teamPctNonCornerThfgaRank,teamNonCornerThfgPctRank,oppPctSmfgaRank,oppSmfgPctRank,oppPctLmfgaRank,oppLmfgPctRank,oppPctCornerThfgaRank,oppCornerThfgPctRank,oppPctNonCornerThfgaRank,oppNonCornerThfgPctRank
1003320453,清华大学,0.435768,0.060453,0.5,0.09068,0.222222,0.367758,0.273973,0.383212,0.087591,0.708333,0.065693,0.388889,0.375912,0.213592,0.062972,0.2,0.027708,0.272727,0,0,0.060453,0.125,0.058394,0.4375,0.007299,0,0.014599,0,0.021898,0.333333,24,20005,CUBAL一级联赛,200069,2022-23,2022,5,4,1,12,14,12,11,11,11,7,6,11,23,13,20,19,6,12,13,10,7,24,24,12,14,15,23,11,1,10,1,9,22
1003320453,清华大学,0.513878,0.429818,0.649446,0.268041,0.343195,0.302141,0.314961,0.358925,0.241843,0.5,0.369482,0.27013,0.388676,0.237037,0.201427,0.338583,0.066614,0.357143,0.055511,0.271429,0.24663,0.324759,0.242802,0.252964,0.126679,0.30303,0.069098,0.194444,0.319578,0.246246,63,20005,CUBAL一级联赛,200267,2023-24,2023,18,17,1,1,3,6,50,10,49,3,7,4,7,48,11,55,19,52,17,45,5,27,24,52,3,32,8,60,39,44,15,53,29
1003320453,清华大学,0.516218,0.394065,0.672504,0.242926,0.375,0.362319,0.293333,0.367909,0.265876,0.506369,0.368332,0.31954,0.365792,0.210648,0.154589,0.34375,0.044859,0.4,0.05521,0.2375,0.244997,0.312676,0.245555,0.327586,0.086367,0.333333,0.04403,0.192308,0.27265,0.214286,74,20005,CUBAL一级联赛,200406,2024-25,2024,19,16,3,4,31,4,51,7,29,11,7,6,21,68,46,49,9,59,21,65,6,27,47,52,7,64,44,63,56,30,18,41,9
