teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,scheduleId,gameStart,出场次数,时间段,_group
1003320449,北京大学,0.384615,0.230769,0.666667,0.410256,0.375,0.358974,0.142857,0.421053,0.368421,0.571429,0.263158,0.2,0.368421,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80548,罗巧梅,,7,21,,PG,,,控球后卫,21.7,1299,,,37.91,14.07,81.13,87.58,71.69,56.95,14.57,46.03,55.46,40.89,52.15,81.46,39.9,37.75,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.418605,0.372093,0.5,0.255814,0.363636,0.372093,0.25,0.409091,0.30303,0.7,0.212121,0.285714,0.484848,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32013,王雨桐,,16,20,,C,,,中锋,19.2,1149,,,52.65,45.7,40.4,45.36,68.54,62.09,49.83,50.99,72.52,13.41,69.37,56.46,8.61,74.83,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.434211,0.368421,0.5,0.263158,0.2,0.368421,0.357143,0.397059,0.352941,0.5,0.176471,0,0.470588,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32012,李若莹,,31,21,,SG,,,得分后卫,19.2,1149,,,58.61,44.54,40.4,47.85,18.54,60.1,81.13,56.79,59.6,59.6,80.63,100,9.93,28.31,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.458333,0.25,0.444444,0.444444,0.5,0.305556,0.272727,0.397059,0.323529,0.636364,0.294118,0.2,0.382353,0.230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30097,钱媛媛,,3,18,,PG,,,控球后卫,18.5,1111,,,66.89,16.89,26.32,90.89,93.71,36.09,58.28,56.79,68.38,25.17,40.23,81.46,34.6,59.6,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.314815,0.111111,0.666667,0.592593,0.3125,0.296296,0.125,0.322581,0.258065,0.375,0.258065,0.125,0.483871,0.266667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,80546,陈怡静,,21,21,,PF,,,大前锋,18.4,1102,,,15.07,2.65,81.13,97.35,53.48,32.45,10.6,83.44,81.79,87.75,53.48,93.38,8.61,44.04,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.44186,0.395349,0.352941,0.209302,0.444444,0.395349,0.352941,0.435484,0.322581,0.7,0.193548,0.333333,0.483871,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32006,李美潼,,13,22,,PF,,,大前锋,18.2,1091,,,60.93,52.32,9.44,29.64,85.76,71.03,80.79,41.23,68.54,13.41,75.5,40.89,8.61,69.04,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.56,0.24,0.5,0.4,0.5,0.36,0.444444,0.521739,0.391304,0.555556,0.173913,0.25,0.434783,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,31999,贾晋文,,4,20,,C,,,中锋,15,902,,,90.4,15.23,40.4,86.59,93.71,57.62,96.03,17.55,48.51,45.36,81.95,65.89,15.73,9.44,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.1,0.1,0,0.6,0.166667,0.3,0,0.083333,0.25,0.333333,0.416667,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,30230,安恒瑶,,6,19,,C,,,中锋,5.8,349,,,,,,,,,,,,,,,,,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.583333,0,0,0.666667,0.5,0.333333,0.5,0,0.111111,0,0.111111,0,0.777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32001,王乔睿,,9,20,,SG,,,得分后卫,5,298,,,,,,,,,,,,,,,,,,0,1,全场,awayTeamPlayerList
1003320449,北京大学,0.6875,0.375,1,0.25,0.5,0.375,0.333333,0.5,0.666667,0.75,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,76061,赵婧涵,,1,18,,PF,,,大前锋,3.5,207,,,,,,,,,,,,,,,,,,0,1,全场,awayTeamPlayerList
