_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),球员有效投篮命中率百分位排名,有效投篮命中率,球员篮下出手数百分位排名,篮下出手数,球员篮下命中率百分位排名,篮下命中率,球员中距离出手数百分位排名,中距离出手数,球员中距离命中率百分位排名,中距离命中率,球员三分出手数百分位排名,三分出手数,球员三分命中率百分位排名,三分命中率,罚球出手数百分位排名,罚球出手数,罚球命中率百分位排名,罚球命中率,底角三分出手数百分位排名,底角三分出手数,底角三分命中率百分位排名,底角三分命中率,非底角三分出手数百分位排名,非底角三分出手数,非底角三分命中率百分位排名,非底角三分命中率,球员短中距离出手数百分位排名,短中距离出手数,球员短中距离命中率百分位排名,短中距离命中率,球员长中距离出手数百分位排名,长中距离出手数,球员长中距离命中率百分位排名,长中距离命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,20,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,7,2005,0.089,false,92,0.545455,24,6,49.6,0.5,30.4,6,93.6,0.5,30.4,10,92,0.4,24,4,80.8,0.75,36.8,1,0,0,24,7,92.8,0.428571,11.2,2,87.2,0.5,49.6,2,87.2,0.5,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,,,19,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200267,2023-24,2023,23,17598,293.3,true,88.7,0.510753,92.17,52,76.52,0.673077,58.26,19,85.22,0.421053,47.83,22,22.61,0.136364,93.04,42,39.13,0.52381,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,17,16169,0.919,false,91.38,0.534483,91.38,49,81.9,0.693878,61.21,19,84.48,0.421053,38.79,19,26.72,0.157895,88.79,36,39.66,0.527778,61.21,5,80.17,0.4,38.79,14,16.38,0.071429,65.52,17,68.97,0.352941,24.14,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4,1232,0.07,false,4.9,0.166667,7.84,3,19.61,0.333333,0,0,0,0,4.9,3,0,0,36.27,6,36.27,0.5,23.53,1,0,0,4.9,2,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,19,,1003320453,清华大学,SF,173,75,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,2,197,0.011,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,,,18,,1003320453,清华大学,总和,,,,20005,CUBAL一级联赛,200069,2022-23,2022,2,480,8,true,50,0.4,11.76,2,100,1,5.88,2,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,PG,173,75,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,251,0.523,false,100,1,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CUBAL一级联赛,CUBAL一级联赛,32072,吴语桐,Wu Yutong,4,18,,1003320453,清华大学,SG,173,75,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,229,0.477,false,15.79,0.25,0,1,100,1,21.05,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.53,1,0,0,0,0,0,0,73.68,2,0,0,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,总和,170,68,,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,458.1,true,90.32,0.538168,93.55,40,60.48,0.55,67.74,17,54.84,0.294118,97.58,74,90.32,0.391892,83.87,21,67.74,0.666667,90.32,9,83.87,0.444444,96.77,61,90.32,0.393443,58.06,11,38.71,0.181818,49.19,2,100,1,
CUBAL一级联赛,CUBAL一级联赛,32064,王小青,Wang Xiaoqing,5,22,,1003320453,清华大学,PG,170,68,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,17,27487,1,false,89.6,0.538168,93.6,40,60,0.55,68,17,55.2,0.294118,96.8,74,89.6,0.391892,84,21,68,0.666667,90.4,9,83.2,0.444444,96.8,61,89.6,0.393443,58.4,11,38.4,0.181818,49.6,2,100,1,
