得分,进攻篮板,防守篮板,篮板(总),助攻,抢断,盖帽,失误,个人犯规,投篮命中数,投篮出手数,投篮命中率,篮下命中数,篮下出手数,篮下命中率,中距离命中数,中距离出手数,中距离命中率,三分命中数,三分出手数,三分命中率,罚球命中数,罚球出手数,罚球命中率,teamId,teamName,上场时间(分钟),wins,losses,seasonId,season,year,leagueEvent,winPct,leagueEventId,出场次数,对手得分,oppOffensiveRebounds,oppDefensiveRebounds,oppRebounds,oppAssists,oppSteals,oppBlocks,对手失误,oppPersonalFouls,oppFgM,oppFga,oppFgPct,对手篮下命中数,对手篮下出手数,对手篮下命中率,对手中距离命中数,对手中距离出手数,对手中距离命中率,对手三分命中数,对手三分出手数,对手三分命中率,oppFtM,oppFta,oppFtPct
386,118,142,260,77,71,15,83,71,153,397,,12,24,,8,36,,40,146,,40,63,,1003320453,清华大学,40,4,1,200069,2022-23,2022,CUBAL一级联赛,,20005,5,50.2,9.4,25.4,34.8,11.2,6.6,2.4,25.4,12.6,18.8,54.8,0.3431,3.4,4.8,0.7083,1.4,3.6,0.3889,4.4,20.6,0.2136,8.2,12.8,0.6406
1713,392,593,985,501,222,43,281,289,671,1449,,384,571,,132,352,,154,525,,217,334,,1003320453,清华大学,40.5263,16,3,200406,2024-25,2024,CUBAL一级联赛,,20005,19,56.5789,11.6316,22.4211,34.0526,15.5789,7.7368,1.3684,19.8947,15.2632,20.4737,62.1579,0.3294,8.3684,16.5263,0.5064,7.3158,22.8947,0.3195,4.7895,22.7368,0.2106,10.8421,16.1579,0.671
1483,352,525,877,423,203,69,264,246,588,1261,,352,542,,116,338,,120,381,,187,303,,1003320453,清华大学,40,17,1,200267,2023-24,2023,CUBAL一级联赛,,20005,18,49.2778,11.2778,20.7778,32.0556,14.1111,7.4444,1,21.1111,15.6111,18.1111,57.8889,0.3129,7,14,0.5,5.7778,21.3889,0.2701,5.3333,22.5,0.237,7.7222,11.3333,0.6814
