_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,8570,142.8,11,Hand-Off,6,2,3,0,0,0,0,0,0,2,2,0,1,1.5,0,0,1,0.3333,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.2674,0.7563,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8570,142.8,11,Cut,2,0.6667,3,0,0,0,3,1,2,0,0,0,0,0.333333,0,1,0,0,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.2674,0.7563,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,8570,142.8,11,Miscellaneous,3,0.4286,7,0,0,0,1,0,1,3,1,2,3,0.375,0,0.25,0.75,0.4286,0,0,40730,李嘉琳,Li Jialin,2,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,2.9573,1.7647,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Transition,87,1.1013,79,41,30,11,10,5,5,11,3,8,10,0.637097,0.6613,0.1613,0.1774,0.1266,7,0.0886,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,10.7621,7.5638,89.63,91.47,80.65,77.88,60.37,47.24,50,66.59,56.91,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,P&R-Ball-Handler,31,0.8857,35,12,8,4,10,3,7,4,1,3,6,0.480769,0.4615,0.3846,0.1538,0.1714,3,0.0857,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,4.768,3.3511,50.3,54.44,84.62,80.47,75.74,60.36,22.49,59.76,64.5,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Isolation,6,0.6,10,6,3,3,3,0,3,0,0,0,1,0.333333,0.6667,0.3333,0,0.1,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.3623,0.9574,12,12,48,32,84,24,0,80,0,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Spot-Up,35,0.7955,44,3,2,1,7,3,4,31,8,23,3,0.414634,0.0732,0.1707,0.7561,0.0682,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,5.9941,4.2128,23.38,24.46,72.73,69.48,37.23,41.77,69.7,80.09,0,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Off-Screen,8,1,8,1,1,0,0,0,0,5,2,3,2,0.666667,0.1667,0,0.8333,0.25,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.0898,0.766,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Hand-Off,5,0.5556,9,1,1,0,3,1,2,2,0,2,2,0.333333,0.1667,0.5,0.3333,0.2222,1,0.1111,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.2261,0.8617,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Cut,16,1.7778,9,4,4,0,3,3,0,0,0,0,1,1,0.5714,0.4286,0,0.1111,1,0.1111,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.2261,0.8617,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Put-Backs,1,0.0769,13,6,0,6,2,0,2,2,0,2,2,0,0.6,0.2,0.2,0.1538,1,0.0769,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.771,1.2447,3.7,3.7,0,0,16.3,49.63,95.56,10.37,24.44,
CUBAL一级联赛,CUBAL一级联赛,22560,376,17,Miscellaneous,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.75,1,0.25,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.5449,0.383,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Transition,36,1.2414,29,15,12,3,2,1,1,3,1,2,5,0.725,0.75,0.1,0.15,0.1724,4,0.1379,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,5.4346,3.5595,44.65,52.14,91.71,91.71,87.43,14.97,39.84,50.8,81.28,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,P&R-Ball-Handler,14,0.6364,22,6,3,3,3,0,3,2,1,1,5,0.409091,0.5455,0.2727,0.1818,0.2273,6,0.2727,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.1228,2.7003,38.85,46.04,64.75,72.66,96.4,22.3,23.74,41.73,98.56,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Isolation,12,1.5,8,5,4,1,1,1,0,0,0,0,0,0.833333,0.8333,0.1667,0,0,2,0.25,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.4992,0.9819,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Spot-Up,18,0.75,24,4,2,2,3,3,0,8,1,7,4,0.433333,0.2667,0.2,0.5333,0.1667,5,0.2083,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.4976,2.9458,16.83,18.99,66.83,74.76,91.83,35.58,33.41,26.92,98.56,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Off-Screen,6,0.8571,7,3,2,1,2,1,1,2,0,2,0,0.428571,0.4286,0.2857,0.2857,0,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.3118,0.8592,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Hand-Off,14,0.875,16,9,6,3,2,0,2,3,0,3,0,0.428571,0.6429,0.1429,0.2143,0,2,0.125,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,2.9984,1.9639,61.54,71.79,69.23,66.67,94.87,10.26,17.95,100,69.23,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Cut,5,1.6667,3,1,1,0,1,1,0,0,0,0,0,1,0.5,0.5,0,0,1,0.3333,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.5622,0.3682,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Put-Backs,0,0,5,1,0,1,2,0,2,1,0,1,1,0,0.25,0.5,0.25,0.2,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.937,0.6137,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17598,293.3,17,Miscellaneous,2,0.1818,11,2,1,1,1,0,1,1,0,1,7,0.25,0.5,0.25,0.25,0.6364,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,SG,,,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,2.0614,1.3502,20.1,25.77,42.78,36.6,74.74,55.67,55.67,63.4,0,
CUBAL一级联赛,CUBAL一级联赛,480,8,1,Transition,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,5.1461,4.5,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,480,8,1,Spot-Up,0,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0.5,0.5,0,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,10.2922,9,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,480,8,1,Cut,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,5.1461,4.5,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,480,8,1,Miscellaneous,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,32072,吴语桐,Wu Yutong,4,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,5.1461,4.5,,,,,,,,,,
