_group,_leagueName,上场时间(秒),上场时间(分钟),出场次数,打法类型,得分,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,失误,有效投篮命中率,篮下比重,中距离比重,三分比重,失误占比,造罚球回合数,造罚球占比,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,每100回合打法使用次数,每36分钟打法使用次数,每36分钟打法使用次数百分位排名,每100回合打法使用次数百分位排名,球员每回合得分百分位排名,球员有效投篮命中率百分位排名,球员篮下出手占比百分位排名,球员中距离出手占比百分位排名,球员三分出手占比百分位排名,球员失误占比百分位排名,球员造罚球占比百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,2129,35.5,1,P&R-Ball-Handler,6,1.5,4,2,2,0,2,1,1,0,0,0,0,0.75,0.5,0.5,0,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,6.7945,4.0563,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,2129,35.5,1,Spot-Up,3,0.6,5,0,0,0,1,0,1,4,1,3,0,0.3,0,0.2,0.8,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,8.4931,5.0704,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,2129,35.5,1,Off-Screen,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1.6986,1.0141,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,2129,35.5,1,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32064,王小青,Wang Xiaoqing,5,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1.6986,1.0141,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Transition,29,1,29,6,5,1,5,3,2,13,3,10,2,0.520833,0.25,0.2083,0.5417,0.069,3,0.1034,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,4.4795,3.0924,20.97,22.35,68.43,53.92,8.53,58.29,91.47,86.41,64.98,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Isolation,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1545,0.1066,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Post-Up,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1545,0.1066,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Spot-Up,12,0.2667,45,1,0,1,4,0,4,38,4,34,2,0.139535,0.0233,0.093,0.8837,0.0444,0,0,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,6.9509,4.7986,32.9,35.28,8.44,8.01,22.08,21.43,88.96,89.18,0,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Off-Screen,12,2,6,0,0,0,0,0,0,6,4,2,0,1,0,0,1,0,0,0,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.9268,0.6398,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Hand-Off,3,3,1,0,0,0,0,0,0,1,1,0,0,1.5,0,0,1,0,0,0,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1545,0.1066,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Cut,28,1.4,20,10,9,1,7,4,3,0,0,0,1,0.764706,0.5882,0.4118,0,0.05,2,0.1,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,3.0893,2.1327,10.04,11.72,97.07,97.49,64.44,35.56,0,78.66,68.62,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,P&R-Roll-Man,5,0.8333,6,1,1,0,2,1,1,1,0,1,1,0.5,0.25,0.5,0.25,0.1667,1,0.1667,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.9268,0.6398,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Put-Backs,15,0.8824,17,8,6,2,5,0,5,0,0,0,2,0.461538,0.6154,0.3846,0,0.1176,2,0.1176,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.6259,1.8128,22.96,27.41,34.81,38.52,17.04,86.67,0,17.78,48.89,
CUBAL一级联赛,CUBAL一级联赛,20257,337.6,17,Miscellaneous,6,0.5,12,0,0,0,2,1,1,2,0,2,6,0.25,0,0.5,0.5,0.5,2,0.1667,92064,刘琦,Liu Qi,6,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1.8536,1.2796,7.87,10.24,74.8,37.01,0,74.8,81.1,81.89,84.25,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Transition,6,0.8571,7,2,2,0,2,0,2,0,0,0,2,0.5,0.5,0.5,0,0.2857,1,0.1429,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.5947,1.0478,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Post-Up,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.2278,0.1497,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Spot-Up,12,0.5,24,4,3,1,4,1,3,14,1,13,1,0.25,0.1818,0.1818,0.6364,0.0417,1,0.0417,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,5.4675,3.5925,22.6,27.4,34.13,26.2,81.01,31.01,51.92,85.58,56.01,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Cut,24,1.3333,18,9,5,4,5,4,1,0,0,0,1,0.642857,0.6429,0.3571,0,0.0556,3,0.1667,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,4.1006,2.6944,36.36,44.95,95.45,88.89,76.26,23.23,0,75.76,83.84,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,P&R-Roll-Man,2,1,2,0,0,0,1,1,0,1,0,1,0,0.5,0,0.5,0.5,0,0,0,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.4556,0.2994,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Put-Backs,10,1.1111,9,6,4,2,1,1,0,0,0,0,2,0.714286,0.8571,0.1429,0,0.2222,0,0,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,2.0503,1.3472,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,14428,240.5,16,Miscellaneous,7,0.6364,11,1,1,0,1,1,0,3,1,2,6,0.7,0.2,0.2,0.6,0.5455,0,0,92064,刘琦,Liu Qi,3,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,2.5059,1.6466,36.08,40.21,88.66,80.93,42.78,49.48,82.47,74.23,0,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Transition,69,1.2545,55,29,23,6,5,3,2,3,1,2,9,0.743243,0.7838,0.1351,0.0811,0.1636,9,0.1636,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,12.4602,8.9391,96.77,97.47,92.17,92.63,83.41,39.17,28.57,50.23,86.18,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,P&R-Ball-Handler,1,0.3333,3,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0.3333,1,0.3333,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.6796,0.4876,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Post-Up,6,1.5,4,3,2,1,0,0,0,0,0,0,0,0.666667,1,0,0,0,1,0.25,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.9062,0.6501,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Spot-Up,14,0.5833,24,4,3,1,3,0,3,11,1,10,2,0.25,0.2222,0.1667,0.6111,0.0833,4,0.1667,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5.4372,3.9007,18.61,17.75,44.16,24.68,76.41,40.26,40.91,72.29,96.75,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Off-Screen,14,2.3333,6,1,1,0,0,0,0,4,4,0,1,1.4,0.2,0,0.8,0.1667,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1.3593,0.9752,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Hand-Off,5,1.25,4,2,1,1,0,0,0,0,0,0,0,0.5,1,0,0,0,2,0.5,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.9062,0.6501,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Cut,8,0.8,10,8,4,4,2,0,2,0,0,0,0,0.4,0.8,0.2,0,0,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.2655,1.6253,5.02,4.6,49.79,40.17,90.38,10.46,0,100,0,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Put-Backs,14,1.0769,13,8,5,3,3,1,2,0,0,0,1,0.545455,0.7273,0.2727,0,0.0769,1,0.0769,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.9451,2.1129,41.48,39.26,52.59,52.59,42.96,62.22,0,44.44,24.44,
CUBAL一级联赛,CUBAL一级联赛,13288,221.5,12,Miscellaneous,5,0.5556,9,1,1,0,0,0,0,0,0,0,6,1,1,0,0,0.6667,2,0.2222,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.0389,1.4628,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Transition,50,1.1628,43,26,19,7,5,1,4,3,1,2,4,0.632353,0.7647,0.1471,0.0882,0.093,5,0.1163,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,8.1043,5.2923,76.47,82.89,86.63,80.48,89.04,26.2,29.41,79.41,73.26,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,P&R-Ball-Handler,5,0.5,10,3,1,2,3,0,3,0,0,0,2,0.166667,0.5,0.5,0,0.2,2,0.2,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.8847,1.2308,8.63,9.35,39.57,17.99,93.53,68.35,0,50.36,95.68,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Isolation,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.3769,0.2462,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Post-Up,5,1,5,2,2,0,1,0,1,0,0,0,2,0.666667,0.6667,0.3333,0,0.4,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,0.9424,0.6154,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Spot-Up,20,0.6897,29,5,3,2,1,0,1,18,4,14,3,0.375,0.2083,0.0417,0.75,0.1034,2,0.069,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,5.4657,3.5692,22.12,27.16,60.82,59.13,86.06,5.29,71.63,51.92,75,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Off-Screen,2,0.1818,11,2,1,1,2,0,2,4,0,4,3,0.125,0.25,0.25,0.5,0.2727,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,2.0732,1.3538,31.25,33.33,2.08,4.17,91.67,66.67,10.42,8.33,0,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Hand-Off,5,0.5,10,4,2,2,1,0,1,1,0,1,3,0.333333,0.6667,0.1667,0.1667,0.3,1,0.1,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.8847,1.2308,25.64,28.21,28.21,41.03,100,15.38,10.26,12.82,61.54,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Cut,13,1.3,10,4,3,1,1,1,0,0,0,0,1,0.8,0.8,0.2,0,0.1,4,0.4,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.8847,1.2308,6.06,10.1,93.94,97.98,90.4,8.59,0,44.44,98.99,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Put-Backs,5,0.625,8,4,2,2,1,0,1,0,0,0,1,0.4,0.8,0.2,0,0.125,2,0.25,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,1.5078,0.9846,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,17549,292.5,18,Miscellaneous,0,0,16,1,0,1,1,0,1,0,0,0,12,0,0.5,0.5,0,0.75,2,0.125,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,SF,,,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,3.0156,1.9692,51.03,61.34,0,0,74.74,74.74,0,38.14,74.74,
CUBAL一级联赛,CUBAL一级联赛,1148,19.1,1,Transition,4,0.5714,7,3,2,1,2,0,2,1,0,1,0,0.333333,0.5,0.3333,0.1667,0,1,0.1429,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,21.109,13.1937,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1148,19.1,1,Spot-Up,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3.0156,1.8848,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1148,19.1,1,Put-Backs,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3.0156,1.8848,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,1148,19.1,1,Miscellaneous,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,32066,袁欣悦,Yuan Xinyue,7,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,3.0156,1.8848,,,,,,,,,,
undefined,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁悦洁
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Transition,39,0.8864,44,12,10,2,3,0,3,18,6,12,10,0.575758,0.3636,0.0909,0.5455,0.2273,1,0.0227,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,6.5855,4.4834,54.15,59.22,52.3,64.98,16.82,26.04,91.71,29.49,25.81,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,P&R-Ball-Handler,10,0.5,20,5,1,4,4,1,3,7,1,6,2,0.21875,0.3125,0.25,0.4375,0.1,2,0.1,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,2.9934,2.0379,16.57,17.75,44.38,27.22,55.03,36.69,60.95,84.02,74.56,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Isolation,4,1,4,0,0,0,2,1,1,0,0,0,1,0.5,0,1,0,0.25,1,0.25,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,0.5987,0.4076,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Spot-Up,50,0.7143,70,5,4,1,18,4,14,38,10,28,7,0.377049,0.082,0.2951,0.623,0.1,2,0.0286,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,10.4769,7.1327,71,75.76,61.9,57.36,41.34,72.94,43.07,64.5,45.02,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Off-Screen,10,0.8333,12,1,0,1,1,0,1,7,3,4,2,0.5,0.1111,0.1111,0.7778,0.1667,1,0.0833,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.796,1.2228,11.76,13.24,60.29,73.53,54.41,29.41,70.59,13.24,82.35,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Hand-Off,11,0.9167,12,1,1,0,2,1,1,4,2,2,4,0.714286,0.1429,0.2857,0.5714,0.3333,1,0.0833,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.796,1.2228,15.79,18.42,81.58,92.11,36.84,57.89,68.42,10.53,60.53,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Cut,7,0.7778,9,3,2,1,2,0,2,0,0,0,1,0.4,0.6,0.4,0,0.1111,3,0.3333,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.347,0.9171,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Put-Backs,16,1.0667,15,11,8,3,1,0,1,1,0,1,1,0.615385,0.8462,0.0769,0.0769,0.0667,1,0.0667,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,2.2451,1.5284,13.33,13.33,49.63,74.07,71.11,13.33,85.93,50.37,20.74,
CUBAL一级联赛,CUBAL一级联赛,21196,353.3,17,Miscellaneous,3,0.3333,9,0,0,0,0,0,0,2,1,1,7,0.75,0,0,1,0.7778,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200406,2024-25,2024,1.347,0.9171,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Transition,29,0.9667,30,9,8,1,1,0,1,12,4,8,7,0.636364,0.4091,0.0455,0.5455,0.2333,1,0.0333,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.1247,2.6667,24.6,30.48,64.97,81.02,33.96,6.68,90.37,32.89,28.88,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,P&R-Ball-Handler,24,0.7059,34,4,3,1,13,4,9,6,2,4,7,0.434783,0.1739,0.5652,0.2609,0.2059,4,0.1176,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,4.6747,3.0222,47.48,56.12,75.54,77.7,42.45,76.26,34.53,47.48,71.22,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Isolation,0,0,4,1,0,1,2,0,2,0,0,0,1,0,0.3333,0.6667,0,0.25,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.55,0.3556,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Spot-Up,58,0.8169,71,1,1,0,11,1,10,49,18,31,8,0.47541,0.0164,0.1803,0.8033,0.1127,2,0.0282,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,9.7618,6.3111,67.07,75.48,75.48,82.93,21.88,30.53,81.73,47.36,48.08,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Off-Screen,13,1.4444,9,1,1,0,3,1,2,4,3,1,1,0.8125,0.125,0.375,0.5,0.1111,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.2374,0.8,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Hand-Off,0,0,4,0,0,0,2,0,2,1,0,1,1,0,0,0.6667,0.3333,0.25,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.55,0.3556,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Cut,6,0.6667,9,5,2,3,2,0,2,0,0,0,1,0.285714,0.7143,0.2857,0,0.1111,1,0.1111,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.2374,0.8,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,P&R-Roll-Man,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.1375,0.0889,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Put-Backs,7,1.4,5,4,3,1,0,0,0,0,0,0,0,0.75,1,0,0,0,1,0.2,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,0.6875,0.4444,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,24301,405,18,Miscellaneous,4,0.2857,14,2,2,0,0,0,0,2,0,2,10,0.5,0.5,0,0.5,0.7143,0,0,80514,王镘淋,Wang Manlin,9,,,1003320453,清华大学,PG,,,控球后卫,20005,CUBAL一级联赛,200267,2023-24,2023,1.9249,1.2444,16.49,20.62,55.67,61.86,74.74,0,74.74,45.88,0,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Transition,10,1.4286,7,5,5,0,1,0,1,0,0,0,1,0.833333,0.8333,0.1667,0,0.1429,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,3.2501,2.199,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4643,0.3141,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Isolation,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4643,0.3141,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Spot-Up,2,0.4,5,2,1,1,1,0,1,1,0,1,1,0.25,0.5,0.25,0.25,0.2,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,2.3215,1.5707,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Cut,11,1,11,4,2,2,5,2,3,0,0,0,0,0.444444,0.4444,0.5556,0,0,2,0.1818,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,5.1073,3.4555,39.33,44.35,74.9,54.39,33.89,66.95,0,100,93.72,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Put-Backs,2,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.4643,0.3141,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,6877,114.6,10,Miscellaneous,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,89060,魏亦冉,Wei Yiran,10,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,1.3929,0.9424,,,,,,,,,,
CUBAL一级联赛,CUBAL一级联赛,15874,264.6,11,Transition,25,0.8065,31,17,9,8,2,1,1,0,0,0,7,0.526316,0.8947,0.1053,0,0.2258,5,0.1613,32071,张涛,Zhang Tao,11,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,6.1299,4.2177,47,50.23,42.17,55.3,94.24,30.41,0,29.72,85.94,
CUBAL一级联赛,CUBAL一级联赛,15874,264.6,11,P&R-Ball-Handler,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32071,张涛,Zhang Tao,11,,,1003320453,清华大学,PF,,,大前锋,20005,CUBAL一级联赛,200406,2024-25,2024,0.1977,0.1361,,,,,,,,,,
