_group,_leagueName,teamId,teamName,得分,对手得分,打法类型,该打法占比,每回合得分,打法类型回合数,篮下出手数,篮下命中数,篮下未命中数,中距离出手数,中距离命中数,中距离未命中数,三分出手数,三分命中数,三分未命中数,有效投篮命中率,篮下比重,中距离比重,三分比重,失误,失误占比,造罚球回合数,造罚球占比,对手该打法回合数,对手篮下出手数,对手篮下命中数,对手篮下未命中数,对手中距离出手数,对手中距离命中数,对手中距离未命中数,对手三分出手数,对手三分命中数,对手三分未命中数,对手该打法占比,对手每回合得分,对手有效命中率,对手篮下比重,对手中距离比重,对手三分比重,对手失误,对手失误占比,对手造罚球回合数,对手造罚球占比,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,lineups,上场时间(秒),上场时间(分钟),每回合得分百分位排名,打法占比百分位排名,球队eFG%百分位,球队篮下出手占比百分位排名,球队中距离出手占比百分位排名,球队三分出手占比百分位排名,失误占比百分位排名,造罚球占比百分位排名,对手每回合得分百分位排名,对手打法占比百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手中距离出手占比百分位排名,对手三分出手占比百分位排名,对手失误占比百分位排名,对手造罚球占比百分位排名,onOff
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,180,,Transition,0.1782,1.0405,173,77,,20,23,12,11,36,14,22,0.661765,0.5662,0.1691,0.2647,25,0.1445,12,0.0694,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32074,,,13,22,2,,175,68,,,24872,414.5,71.59,34.72,79.92,64.2,33.33,57.58,60.61,48.67,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.0298,-0.0731,,,,,,,,,,,-0.059,-0.032,-0.0184,0.0504,,0.0077,,-0.0151,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32074,,,13,22,2,,175,68,,,,,48.58,19.67,44.42,52.52,56.56,73.19,36,53.28,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,113,,Transition,0.2,0.904,125,50,,15,12,5,7,37,11,26,0.570707,0.5051,0.1212,0.3737,13,0.104,13,0.104,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,88706,,,15,18,2,,197,96,,,15379,256.3,56.89,44.25,63.78,36.75,32.33,85.16,71.2,64.31,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,269,,Transition,0.2737,0.915,294,126,,38,34,15,19,62,19,43,0.595023,0.5676,0.1532,0.2793,49,0.1667,24,0.0816,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,88706,,,15,18,2,,197,96,,,26021,433.7,57.6,75.44,70.14,47.35,40.64,67.31,50.09,52.12,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,-0.0737,-0.011,,,,,,,,,,,-0.0243,-0.0625,-0.032,0.0944,,-0.0627,,0.0224,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,88706,,,15,18,2,,197,96,,,,,61.26,21.07,56.58,47.81,53.15,83.78,58.4,74.24,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,224,,Transition,0.27,0.9333,240,106,,33,30,15,15,44,14,30,0.608939,0.5889,0.1667,0.2444,38,0.1583,23,0.0958,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32067,,,16,21,2,,199,80,,,21702,361.7,59.82,74.73,72.61,52.47,45.13,57.77,53.71,59.89,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,163,,Transition,0.2234,0.8907,183,72,,20,16,5,11,55,16,39,0.566434,0.5035,0.1119,0.3846,25,0.1366,15,0.082,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32067,,,16,21,2,,199,80,,,19698,328.3,55.48,54.77,62.9,36.75,30.74,86.73,61.13,52.12,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.0466,0.0426,,,,,,,,,,,0.0425,0.0854,0.0548,-0.1402,,0.0217,,0.0138,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32067,,,16,21,2,,199,80,,,,,68.23,99.9,71.09,79.77,76.43,27.67,29.48,69.27,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,6,,Transition,0.25,0.6667,9,6,,3,2,0,2,0,0,0,0.375,0.75,0.25,0,0,0,1,0.1111,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32067,,,16,19,2,,199,80,,,828,13.8,42.86,69.44,22.22,91.67,51.43,0,100,71.43,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,4,,Transition,0.1364,0.4444,9,3,,1,1,0,1,4,0,4,0.25,0.375,0.125,0.5,1,0.1111,0,0,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32067,,,16,19,2,,199,80,,,1572,26.2,11.11,2.78,5.71,25,13.89,94.44,80,0,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.1136,0.2223,,,,,,,,,,,0.125,0.375,0.125,-0.5,,-0.1111,,0.1111,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200069,2022-23,2022,32067,,,16,19,2,,199,80,,,,,72.73,98.4,75.4,89.84,79.14,4.81,63.1,90.37,,,,,,,,,差值
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,148,,Transition,0.1851,1.0423,142,66,,18,20,9,11,31,11,20,0.628205,0.5641,0.1709,0.265,15,0.1056,10,0.0704,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32067,,,16,20,2,,199,80,,,18974,316.2,71.78,39.2,76.14,64.02,33.33,57.58,75.38,48.67,,,,,,,,,不在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,121,,Transition,0.1496,0.9837,123,50,,13,14,7,7,28,11,17,0.657609,0.5435,0.1522,0.3043,24,0.1951,7,0.0569,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32067,,,16,20,2,,199,80,,,21826,363.8,64.58,23.67,79.36,60.23,27.46,68.31,41.1,39.58,,,,,,,,,在场
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,,,Transition,0.0355,0.0586,,,,,,,,,,,-0.0294,0.0206,0.0187,-0.0393,,-0.0895,,0.0135,,,,,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32067,,,16,20,2,,199,80,,,,,68.49,99.78,51.42,64.44,65.97,51.09,66.96,68.05,,,,,,,,,差值
