_group,_leagueName,playerId,playerName,playerEnName,number,age,sex,teamId,teamName,position,height,weight,positionCn,leagueEventId,leagueEvent,seasonId,season,year,出场次数,上场时间(秒),上场时间(分钟),位置筛选(全部/按位置),进攻篮板率百分位排名,进攻篮板率,防守篮板率百分位排名,防守篮板率,抢断率百分位排名,抢断率,盖帽率百分位排名,盖帽率,犯规率百分位排名,犯规率,防守投篮出手数百分位排名,防守投篮出手数,防守投篮出手总数,防守投篮未命中数,防守投篮被命中数,防守投篮命中率百分位排名,防守投篮命中率,_playerName
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,20,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200267,2023-24,2023,17,25014,416.9,false,96.26,0.138173,100,0.245327,79.44,0.034006,35.51,0.005236,25.23,0.043528,65.31,42,42,26,16,75.51,0.380952,
CUBAL一级联赛,CUBAL一级联赛,32071,张涛,Zhang Tao,11,19,,1003320453,清华大学,PF,184,84,大前锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,2051,34.2,false,100,0.214286,85,0.16,90,0.051099,85,0.029412,0,0.068132,,5,5,3,2,,0.4,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,23,,1003320453,清华大学,SF,175,68,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,10,5718,95.3,false,70.55,0.063636,11.64,0.051546,89.04,0.045068,0,0,83.56,0.016901,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,22,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200267,2023-24,2023,15,17298,288.3,false,90.43,0.09319,8.7,0.044521,95.65,0.048552,69.57,0.007937,93.04,0.011653,,9,9,5,4,,0.444444,
CUBAL一级联赛,CUBAL一级联赛,32074,王思文,Wang Siwen,13,21,,1003320453,清华大学,SG,175,68,得分后卫,20005,CUBAL一级联赛,200069,2022-23,2022,1,2004,33.4,false,72.22,0.054545,16.67,0.041667,72.22,0.032608,83.33,0.027027,72.22,0.016304,,6,6,1,5,,0.833333,
CUBAL一级联赛,CUBAL一级联赛,88706,孙楷文,Sun Kaiwen,15,18,,1003320453,清华大学,C,197,96,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,15379,256.3,false,30.77,0.062937,68.53,0.161765,21.68,0.010293,78.32,0.03719,8.39,0.063819,17.16,16,16,10,6,69.4,0.375,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,21,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200406,2024-25,2024,16,21702,361.7,false,63.64,0.098361,79.02,0.17602,88.81,0.034418,73.43,0.02981,63.64,0.030116,50.75,36,36,17,19,25.37,0.527778,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,20,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,18,19820,330.3,false,97.41,0.169399,94.83,0.215569,87.07,0.031031,75,0.037543,59.48,0.035931,76.52,60,60,44,16,93.91,0.266667,
CUBAL一级联赛,CUBAL一级联赛,32067,高梓悦,Gao Ziyue,16,19,,1003320453,清华大学,C,199,80,中锋,20005,CUBAL一级联赛,200069,2022-23,2022,1,828,13.8,false,,0.142857,,0.25,,0.112233,,0.071429,,0.037411,,3,3,1,2,,0.666667,
CUBAL一级联赛,CUBAL一级联赛,32073,金耘可,Jin Yunke,99,21,,1003320453,清华大学,C,183,84,中锋,20005,CUBAL一级联赛,200267,2023-24,2023,1,704,11.7,false,,0,,0.125,,0,,0,,0.050684,,0,0,0,0,,,
CUBAL一级联赛,CUBAL一级联赛,93035,李瑜婧,Li Yujing,21,21,,1003320453,清华大学,SF,177,74,小前锋,20005,CUBAL一级联赛,200406,2024-25,2024,17,16592,276.5,false,76.03,0.072131,34.25,0.074074,26.71,0.01677,52.74,0.003676,19.86,0.044721,45.05,20,20,11,9,71.17,0.45,
CUBAL一级联赛,CUBAL一级联赛,93035,李瑜婧,Li Yujing,21,20,,1003320453,清华大学,SF,177,74,小前锋,20005,CUBAL一级联赛,200267,2023-24,2023,12,6421,107,false,83.47,0.079208,46.28,0.103774,99.17,0.071158,70.25,0.011765,11.57,0.054737,0,10,10,4,6,22.45,0.6,
undefined,undefined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,郑梓怡
