_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.492063,0.485009,0.625455,0.238095,0.348148,0.276896,0.254777,0.325056,0.250564,0.468468,0.327314,0.241379,0.422122,0.203209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80514,王镘淋,,,20,,,,,,315,18899,在场,,76.78,90.82,65.54,20.6,65.92,27.9,54.68,79.96,68.16,74.72,50.75,69.85,20.04,64.42,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.5317,0.384726,0.674157,0.292507,0.339901,0.322767,0.357143,0.383973,0.235392,0.524823,0.400668,0.2875,0.36394,0.266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,80514,王镘淋,,,20,,,,,,405,24301,不在场,,87.45,71.16,76.78,36.14,64.23,43.82,85.02,58.43,73.78,62.55,27.9,53.37,40.07,42.13,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.012689,-0.067128,-0.001243,-0.026282,-0.027799,0.093411,0.055112,0.019373,0.019198,0.074242,-0.020285,-0.064482,0.001088,0.03627,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,,,,,690,,差值,,58.02,17.77,47.71,36.39,38.4,88.83,76.36,37.82,37.82,20.49,65.62,74.21,49.57,34.24,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.515537,0.405838,0.679814,0.256121,0.378676,0.338041,0.281337,0.369516,0.247469,0.509091,0.386952,0.337209,0.365579,0.206154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,,,,,575.4,34523,在场,,80.63,55.79,82.95,45.7,72.35,46.69,61.26,66.72,83.44,57.45,15.4,37.91,40.73,68.71,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.528226,0.33871,0.678571,0.229839,0.350877,0.431452,0.336449,0.388889,0.266667,0.583333,0.366667,0.272727,0.366667,0.242424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,89060,魏亦冉,,,18,,,,,,114.6,6877,不在场,,83.77,35.93,82.78,38.25,63.74,83.28,78.15,60.43,80.46,37.75,20.7,59.6,40.56,54.14,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.022417,0.075819,-0.030081,-0.046908,0.013809,-0.028911,0.019619,-0.016226,-0.005099,-0.043872,-0.033624,0.017227,0.038723,-0.01857,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,,,,,690,,差值,,63.47,82.66,34.81,24.5,53.72,35.1,61.17,60.74,52.87,68.48,74.64,40.11,24.36,61.46,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.509674,0.365175,0.692053,0.26844,0.369369,0.366385,0.287129,0.378971,0.252648,0.538922,0.396369,0.320611,0.350983,0.219828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,,,,,425.4,25526,在场,,79.97,43.71,85.26,50.17,69.37,59.44,64.4,64.24,81.95,48.18,13.74,43.38,46.85,63.91,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.532091,0.440994,0.661972,0.221532,0.383178,0.337474,0.306748,0.362745,0.247549,0.49505,0.362745,0.337838,0.389706,0.201258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,32071,张涛,,,21,,,,,,264.6,15874,不在场,,84.6,65.56,79.64,34.11,73.18,46.52,69.87,70.53,83.44,62.58,21.19,37.91,31.62,68.71,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,-0.058489,-0.015646,-0.053862,0.023669,-0.096037,-0.008024,-0.008762,0.008972,0.005026,0.065883,0.018922,0.003578,-0.023948,-0.012426,,,,,,,,,,,,,,,,,20005,CUBAL一级联赛,200267,2023-24,2023,32071,张涛,,,20,,,,,,720,,差值,,15.62,39.5,27.83,64.27,10.05,46.68,42.37,43.45,45.24,22.08,40.93,46.86,64.63,57.63,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.487857,0.422857,0.625,0.278571,0.302564,0.298571,0.311005,0.362602,0.243902,0.526667,0.377236,0.271552,0.378862,0.23176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32071,张涛,,,20,,,,,,416.9,25014,不在场,,75.84,80.34,65.36,32.02,49.25,36.14,74.53,66.1,70.97,61.61,36.14,60.67,33.33,54.49,
