_group,_leagueName,_seasonYear,底角三分命中率,有效投篮命中率,leagueEvent,leagueEventId,season,seasonId,year,长中距离命中率,中距离命中率,上场时间(分钟),非底角三分命中率,对手底角三分命中率,对手有效命中率,对手eFG%百分位,对手远中距离命中率,对手中距离命中率,对手中距离命中率百分位排名,对手侧翼三分命中率,对手底角三分比重,对手远中距离比重,对手中距离比重,对手中距离出手占比百分位排名,对手侧翼三分比重,对手篮下比重,对手篮下出手占比百分位排名,对手近距离比重,对手三分比重,对手三分出手占比百分位排名,对手篮下命中率,对手篮下命中率百分位排名,对手近距离命中率,对手三分命中率,对手三分命中率百分位排名,底角三分比重,远中距离比重,中距离比重,侧翼三分比重,篮下比重,篮下近距离比重,三分比重,篮下命中率,上场时间(秒),短中距离命中率,球队eFG%百分位,teamId,球队中距离命中率百分位排名,teamName,球队中距离出手占比百分位排名,球队篮下出手占比百分位排名,球队三分出手占比百分位排名,球队篮下命中率百分位排名,球队三分命中率百分位排名,三分命中率
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.555556,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.5,5,0,0,0.409091,,0,0,,0,0,0,0.363636,,0,0.272727,,0,0.363636,,1,,0,0.25,,0,0,0.222222,0,0.777778,0,0,0.571429,302,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.166667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,3.6,0,0,0,,0,0,,0,0,0,0.2,,0,0.4,,0,0.4,,0,,0,0,,0,0,0,0,0.5,0,0.5,0.333333,218,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.666667,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.4,0,0,0,,0,0,,0,0,0,0.333333,,0,0.666667,,0,0,,0,,0,0,,0,0,0,0,1,0,0,0.666667,83,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.7,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,3,0,0,0.5,,0,0,,0,0,0,0.4,,0,0.4,,0,0.2,,0.5,,0,1,,0,0,0.2,0,0.6,0,0.2,0.333333,181,0,,1003320453,,清华大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.533333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,9.3,0,0,0.535714,,0,0.25,,0,0,0,0.285714,,0,0.428571,,0,0.285714,,0.833333,,0,0.25,,0,0,0.2,0,0.666667,0,0.133333,0.7,559,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.46,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.2,24.9,0,0,0.255556,94.54,0,0.28,57.28,0,0,0,0.555556,2.98,0,0.244444,84.11,0,0.2,92.22,0.272727,96.69,0,0.111111,91.72,0,0,0.3,0,0.4,0,0.3,0.7,1492,0,67.55,1003320453,18.54,清华大学,60.6,54.3,33.61,86.59,55.96,0.266667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,1,CUBAL一级联赛,20005,2024-25,200406,2024,0,1,2.7,0,0,0.6,,0,0.5,,0,0,0,0.4,,0,0.6,,0,0,,0.666667,,0,0,,0,0,0.333333,0,0.166667,0,0.5,1,159,0,,1003320453,,清华大学,,,,,,0.666667
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.833333,CUBAL一级联赛,20005,2024-25,200406,2024,0,0,1.1,0,0,1,,0,1,,0,0,0,1,,0,0,,0,0,,0,,0,0,,0,0,0,0,0.666667,0,0.333333,0.5,67,0,,1003320453,,清华大学,,,,,,1
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.5,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.571429,10.4,0,0,0.428571,,0,0.333333,,0,0,0,0.428571,,0,0.142857,,0,0.428571,,0.5,,0,0.333333,,0,0,0.388889,0,0.444444,0,0.166667,0.625,623,0,,1003320453,,清华大学,,,,,,0
CUBAL一级联赛 2024,CUBAL一级联赛,2024,0,0.423077,CUBAL一级联赛,20005,2024-25,200406,2024,0,0.333333,6.5,0,0,0.428571,,0,0.166667,,0,0,0,0.428571,,0,0.142857,,0,0.428571,,1,,0,0.333333,,0,0,0.230769,0,0.461538,0,0.307692,0.5,388,0,,1003320453,,清华大学,,,,,,0.25
