vid,gameMode,leagueId,leagueName,seasonId,season,eventId,videoCount,totalVideoDuration,stageName,scheduleId,teamId,playerId,number,playerName,teamName,opponentId,对手,result,videoUrl,videoTime,打法类型,scheduleTime,date,时间段,gameClock,gameClockTime,pbpName,pbpType,relatedEventList,shotZone,distance,shotDistance,shotX,shotY,labelKey,labelName,eventTime,quarter,madeMissed,score,ftScore,isHome,fgdMm,rpResult,videoType,_group
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.154,0.514,,,,2,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.628,0.615,,,,2,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.512,0.658,,,,2,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.74,0.634,,,,2,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,92064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.094,0.405,,,,2,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.159,0.48,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32067,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.518,0.217,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,92064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.208,0.524,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,92064,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.483,0.27,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32071,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.422,0.368,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32071,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.533,0.161,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.701,0.183,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32067,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.44,0.143,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32071,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.576,0.133,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3PM,,,,,0.057,0.308,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.743,0.552,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.539,0.127,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32071,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.561,0.15,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32064,,,,,,投篮,,,,,,全场,,,,3PM,,,,,0.319,0.653,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32067,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.96,0.104,,,,3,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.621,0.13,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.548,0.139,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,40730,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.538,0.141,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,92064,,,,,,投篮,,,,,,全场,,,,3Pm,,,,,0.05,0.252,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32071,,,,,,投篮,,,,,,全场,,,,2Pm,,,,,0.614,0.15,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,32072,,,,,,投篮,,,,,,全场,,,,2PM,,,,,0.52,0.251,,,,4,,,,,,,,homeShoots
,,,,,,,,00:00,,200050010977,1003320453,80514,,,,,,投篮,,,,,,全场,,,,3PM,,,,,0.96,0.134,,,,4,,,,,,,,homeShoots
