_group,_leagueName,teamId,teamName,有效投篮命中率,篮下比重,篮下命中率,中距离比重,中距离命中率,三分比重,三分命中率,对手有效命中率,对手篮下比重,对手篮下命中率,对手中距离比重,对手中距离命中率,对手三分比重,对手三分命中率,篮下近距离比重,短中距离命中率,远中距离比重,长中距离命中率,底角三分比重,底角三分命中率,侧翼三分比重,非底角三分命中率,对手近距离比重,对手近距离命中率,对手远中距离比重,对手远中距离命中率,对手底角三分比重,对手底角三分命中率,对手侧翼三分比重,对手侧翼三分命中率,leagueEventId,leagueEvent,seasonId,season,year,playerId,playerName,playerEnName,number,age,sex,position,height,weight,positionCn,上场时间(分钟),上场时间(秒),onOff,球队比赛场次,球队eFG%百分位,球队篮下出手占比百分位排名,球队篮下命中率百分位排名,球队中距离出手占比百分位排名,球队中距离命中率百分位排名,球队三分出手占比百分位排名,球队三分命中率百分位排名,对手eFG%百分位,对手篮下出手占比百分位排名,对手篮下命中率百分位排名,对手中距离出手占比百分位排名,对手中距离命中率百分位排名,对手三分出手占比百分位排名,对手三分命中率百分位排名,位置筛选(全部/按位置),_playerName
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.500756,0.441755,0.616438,0.251135,0.331325,0.30711,0.315271,0.347273,0.236364,0.461538,0.376364,0.241546,0.387273,0.253521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,32064,王小青,,,21,,总和,,,,384.7,23083,,,80.34,84.46,61.99,23.78,58.99,38.39,75.66,72.47,73.41,76.22,36.52,69.66,30.34,45.32,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.278571,0.285714,0.45,0.428571,0.2,0.285714,0.15,0.46875,0.458333,0.681818,0.354167,0.352941,0.1875,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32064,王小青,,,20,,PG,,,控球后卫,1,2129,,,6.25,80.36,74.11,93.75,72.32,28.57,17.86,33.93,4.46,2.68,12.5,9.82,94.64,92.86,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.278571,0.285714,0.45,0.428571,0.2,0.285714,0.15,0.46875,0.458333,0.681818,0.354167,0.352941,0.1875,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200069,2022-23,2022,32064,王小青,,,20,,总和,,,,35.5,2129,,,6.25,80.36,74.11,93.75,72.32,28.57,17.86,33.93,4.46,2.68,12.5,9.82,94.64,92.86,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.506015,0.369925,0.719512,0.239098,0.333333,0.390977,0.273077,0.372458,0.255083,0.485507,0.380776,0.31068,1,0.086876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92064,刘琦,,,20,,总和,,,,337.6,20257,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.506135,0.370143,0.707182,0.257669,0.34127,0.372188,0.28022,0.377724,0.251816,0.5,0.37046,0.30719,0.377724,0.24359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92064,刘琦,,,20,,PF,,,大前锋,0.748,15145,,,78.81,45.36,87.58,46.52,62.09,62.25,60.93,64.57,82.28,59.6,19.21,47.68,35.6,53.97,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.511628,0.377907,0.753846,0.186047,0.28125,0.436047,0.266667,0.356557,0.278689,0.441176,0.393443,0.3125,0.327869,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92064,刘琦,,,20,,C,,,中锋,0.243,4915,,,80.13,47.35,92.05,22.02,42.88,84.44,55.96,73.34,77.98,74.01,14.24,46.52,56.46,61.09,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.25,0,0,0.25,1,0.75,0,0.333333,0,0,0.833333,0.4,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200406,2024-25,2024,92064,刘琦,,,20,,SF,,,小前锋,0.01,197,,,,,,,,,,,,,,,,,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.551876,0.459161,0.682692,0.253863,0.417391,0.286976,0.307692,0.360169,0.257062,0.483516,0.370056,0.236641,1,0.09887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92064,刘琦,,,19,,总和,,,,240.5,14428,,,,,,,,,,,,,,,,,true,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.551813,0.463731,0.675978,0.261658,0.376238,0.274611,0.339623,0.367698,0.243986,0.43662,0.378007,0.254545,0.378007,0.290909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92064,刘琦,,,19,,PF,,,大前锋,0.854,12315,,,91.39,88.95,76.97,27.15,75.84,26.59,82.21,63.67,70.97,80.15,35.96,64.79,33.52,31.65,false,
CUBAL一级联赛,CUBAL一级联赛,1003320453,清华大学,0.552239,0.432836,0.724138,0.208955,0.714286,0.358209,0.166667,0.325397,0.31746,0.65,0.333333,0.142857,0.349206,0.136364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20005,CUBAL一级联赛,200267,2023-24,2023,92064,刘琦,,,19,,C,,,中锋,0.146,2113,,,91.57,82.4,85.77,13.86,100,57.49,21.54,79.96,47.57,30.34,47.19,91.01,46.07,85.58,false,
